,label,material/trim,description,location,qty,black,heather gray,oxblood
10,a,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),"main body, back pocket, gusset",none,black,heather gray,oxblood
12,aa,zipper,"ykk no.4 coil zipper.  auto-lock slider da8lh,   (closes to side seam)",(1) back pocket,1,black,black,black
14,bb,elastic,flat elastic 3.5cm finished height,waistband,1,black,black,black
15,cc,drawcord,flat shoelace drawcord with heat sealed ends  w: 1 cm (see our original sample),inside waistband,1,black,black,black
16,dd,main label,tbd,"inside left panel, 2.5cm below waistband seam, and 2cm from back rise",1,black/moonbeam,black/moonbeam,black/moonbeam
17,ee,size label,abwv_207 made in vietnam woven label,centered below abwv_84,1,black/neutral gray,black/neutral gray,black/neutral gray
18,ff,w/c label,satin/printed w/c label (supplied by your side),inside cb waist,1,black,black,black
19,gg,branding,tbd,tbd,1,tbd,tbd,tbd
21,hh,hangtag,tbd,tbd,1,tbd,tbd,tbd
22,ii,hangtag,tbd,tbd,1,tbd,tbd,tbd
23,jj,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black
24,kk,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white
25,ll,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white
