,label,material/trim,description,location,qty,tbd,tbd,tbd,tbd
10,a,shell fabric,sotd109-c1-y 10k/8k 10k/8k +2-layer +breathable coating+dwr,main body,none,tbd,tbd,tbd,tbd
11,b,lining,210t-e terry emboss taffeta   (supplied by ecoya),"inside lining, lower leg gaiters",none,tbd,tbd,tbd,tbd
12,c,lining, velvety tricot - soto048-1 (supplied by solis),"inside waistband, handwarmer pocket bag front panel only, and inside fly panel",none,tbd,tbd,tbd,tbd
13,d,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,black,black,black,black
15,aa,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",fly,1,tbd,tbd,tbd,tbd
16,bb,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",back pockets,2,tbd,tbd,tbd,tbd
17,cc,zipper,"ykk no.3 nylon reverse coil, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",phone pocket,1,tbd,tbd,tbd,tbd
18,dd,zipper pull,abzp_01 utility cord pulls (supplied by wei rong),back pockets (2),2,tbd,tbd,tbd,tbd
20,ee,hardware,"abjbt_01 jean button (16.3mm) ('air blaster' deboss logo), incl. washer",at c.f. closure.,1,tbd,tbd,tbd,tbd
21,ff,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",bang snaps (2),2,tbd,tbd,tbd,tbd
22,gg,hardware,12mm metal eyelet  (incl. washers),front waistband 10cm each side of center front (2),2,tbd,tbd,tbd,tbd
23,hh,hardware,abel_01 (incl. washers),left belt loop (1),1,tbd,tbd,tbd,tbd
24,ii,hardware,metal lace hook,2 pcs at bottom leg openings.  place at cf of each leg opening.,2,black oxidized,black oxidized,black oxidized,black oxidized
25,jj,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,tbd,tbd,tbd,tbd
26,kk,elastic,gripper elastic,at inside lower leg gators,2,black,black,black,black
27,ll,main label,tbd,"inside c.b. waist, see q/a for detail",1,tbd,tbd,tbd,tbd
28,mm,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,tbd,tbd,tbd,tbd
29,nn,w/c label,satin/printed w/c label   (supplied by your side),"at inside wearers left, 8 cm from waistband seam",1,black,black,black,black
30,oo,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,tbd,tbd,tbd,tbd
31,pp,branding,tbd,"hammer pocket, see placement page for detail",1,tbd,tbd,tbd,tbd
33,qq,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
34,rr,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
35,ss,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black
36,tt,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white
37,uu,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white
