,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7
1, #8 vislon zipper,ykk / 1-way semi auto locking with 1 l1 custom pull,center front,1,slider/pull color: x6 black oxides zipper tape and teeth color: match to sleeve color: 19-1540 tcx rust,slider/pull color:x6 black oxides zipper tape and teeth color: match to sleeve color: 19-4006 tcx black,slider/pull color:x6 black oxides zipper tape and teeth color: match to sleeve color: 19-4010 tcx ink,slider/pull color:x6 black oxides zipper tape and teeth color: 19-0515 tcx millitary 
2, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black,silder/pull color: x6 black oxides zipper tape/teeth color: black
3,additional zipper pulls,supplier/ reference number,location,amount,black/ rust,bone/ black,gunmetal/ ink,vintage camo broken twill
4,"l1-2018-trim-017
l1 zipper pull",ykk,center front,1 top pull only,x6 black oxides,x6 black oxides,x6 black oxides,x6 black oxides
5,"l1-2018-trim-018
non branded zipper pull. faux leather",please source: same supplier as other faux leather trims,hand pockets vertical,1 per side = 2,black faux leather,black faux leather,black faux leather,black faux leather
6,branded trims,supplier/ reference number,location,amount,black/ rust,bone/ black,gunmetal/ ink,vintage camo broken twill
7,"l1-2018-trim-011
half deboss snap",luk's / ,chest pocket flap,1,al023 alloy (d),al023 alloy (d),al023 alloy (d),al023 alloy (d)
8,"l1-2018-trim-001
""freedom in versatility"" 
woven label",chun wo ho / ,chest pocket,1,woven label,woven label,woven label,woven label
9,"l1-2018-trim-005
black faux leather hem wrap",please source: same supplier as other faux leather trims,right hand pocket welt,1,black faux leather,black faux leather,black faux leather,black faux leather
10,"l1-2018-trim-024
l1 embroidery small",soluna,left sleeve hem,1,match to shell,match to shell,match to shell,match to shell
11,"l1-2018-trim-025
l1 embroidery large",soluna,back right,1,match to shell,match to shell,match to shell,match to shell
12,trims,supplier/ reference number,location,amount,black/ rust,bone/ black,gunmetal/ ink,vintage camo broken twill
13,15mm metal snap,luk's / 404,powder skirt - front closure,"2 female, 4 male",al023 alloy (d),al023 alloy (d),al023 alloy (d),al023 alloy (d)
14,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,al023 alloy (d),al023 alloy (d),al023 alloy (d),al023 alloy (d)
15,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection,3 sets,al023 alloy (d),al023 alloy (d),al023 alloy (d),al023 alloy (d)
16,metal eyelets 11mm,luk's / et89,hood cord exit front,2 per side = 4,al023 alloy (d),al023 alloy (d),al023 alloy (d),al023 alloy (d)
17,metal eyelets 8mm,luk's / et04,hem cord exit,2 per side = 4,al023 alloy (d),al023 alloy (d),al023 alloy (d),al023 alloy (d)
18,cord lock,# 1340089aa-0 (bko1) (button),front hood adjust,1 per side = 2,19-4006 tcx black,19-4006 tcx black,19-4006 tcx black,19-4006 tcx black
