,description,ref,location,content,colorway/4,colorway/5,colorway/6
1,cotton touch ,solis / sonp020-cc01-m / c6 + dwr / 5k/5k,a,none,black,walnut,dark slate 
2,ribbing,leader collar / as last year production,"collar, sleeve hem",none,black,walnut,dark slate 
3,insulation,supplier/ reference number,location ,content,black,walnut,dark slate
4,polyfill insulation ,pinneco mantle 60g ,all over,100% polyester,60g,60g,60g
5,seam tape,supplier/ reference number,location ,content,black,walnut,dark slate
6,critically seam sealed,tsgs,critically seam sealed,none,critically seam sealed,critically seam sealed,critically seam sealed
7,lining,supplier/ reference number,location ,content,black,walnut,dark slate
8,blanket lining,solis / soty066-d blanket lining / brush / no dwr,main body,none,blanket lining,blanket lining,blanket lining
9,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black
10,solid 210t ,solis / sonp006-1,pocket bags,100% nylon,black,black,black
