,description,ref,location,content,colorway/4,colorway/5
1,broken twill,"solis/ wl248 broken twill, 10k/10k",a,none,vintage camo broken twill,x
2,cotton touch,solis/ cotton touch sonp020-cc01-m +c6 + dwr 5k/5k,a,none,x,black
3,insulation,supplier/ reference number,location ,content,vintage camo broken twill,black
4,polyfill insulation ,pinneco mantle 40g ,all over,100% polyester,40g,40g
5,seam tape,supplier/ reference number,location ,content,vintage camo broken twill,black
6,no seam tape on this style,none,none,none,no seam tape on this style,no seam tape on this style
7,lining,supplier/ reference number,location ,content,vintage camo broken twill,black
8,quilted satin,solis / pr258,body,100% polyester,pantone 18-0950 tpx harvest,pantone 18-0950 tpx harvest
9,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black
10,solid 210t ,solis / sonp006-1,hand pocket bags,100% nylon,black,black
