,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8
1, #5 coil zipper,ykk / 1-way semi auto locking dalh,fly ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
2, #3 coil zipper,non ykk / 1-way non locking dadr4 l-type drop,leg pocket vertical ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
3, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,back right pocket,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
4, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hem gusset ,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
5,additional zipper pulls,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal
6, 11nt-045 / self fabric pull ,factory made,back right pocket,1,match to shell,match to shell,match to shell,match to shell,match to shell
7,branded trims,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal
8,"l1-2018-trim-022
l1 19mm shank
black alloy
al023",luks,front waist band,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
9,"l1-2018-trim-020
l1 10mm square rivet
black alloy
al023",luks,front left hand pocket bottom edge,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
10,"l1-2018-trim-011
half deboss snap 
black alloy
al023",luks,back left pocket flap,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
11,"l1-2018-trim-007
large black faux leather hem wrap / artwork debossed 1mm and then painted gold. 3.8 cm x 2 cm",please source,back right pocket welt,1,l1-2018-trim-007 black,l1-2018-trim-007 black,l1-2018-trim-007 black,l1-2018-trim-007 black,l1-2018-trim-007 black
12,"l1-2018-trim-027
l1 faux leather patch
black ",please source,back left knee,1,"l1-2018-trim-027
l1 faux leather patch
black ","l1-2018-trim-027
l1 faux leather patch
black ","l1-2018-trim-027
l1 faux leather patch
black ","l1-2018-trim-027
l1 faux leather patch
black ","l1-2018-trim-027
l1 faux leather patch
black "
13,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,hem front left leg,1,match to shell,match to shell,match to shell,match to shell,match to shell
14,trims,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal
15,15mm metal snap,luk's / 404,back gaiter/ pant hem,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
16,boot hook,suppler,front gaiter,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
17,keyclip,as last year production,right leg pocket,1,black,black,black,black,black
18,notions,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal
19,self fabric tab 1x1,factory,front gaiter under boot hook,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell
20,self fabric tab 1x1,factory,back gaiter under finger snap hem adjust,1 per side = 2,match to shell,match to shell,match to shell,match to shell,match to shell
21,"grossgrain 1/4""",factory,attach key clip in right leg pocket,1,black,black,black,black,black
22,"grossgrain 1/4""",factory,balls out venting mesh guard,1,black,none,none,none,none
23,gripper elastic 25mm non logo,mtt0022,leg gaiters,2,black,black,black,black,black
24,"3/8"" waxed shoe lace with clear plastic tips",as last year production,waist band,1,black with wax + cleaer plastic tips,black with wax + cleaer plastic tips,black with wax + cleaer plastic tips,black with wax + cleaer plastic tips,black with wax + cleaer plastic tips
25,velcro,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal
26,thread,spi,supplier/ ref number,amount,black,walnut,military,dark slate,gunmetal
27,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),Feb-30,regular thread,matching,matching,matching,matching,matching
28,seams,10-12 spi,Feb-30,regular thread,matching,matching,matching,matching,matching
29,topstitch,8-10 spi,Feb-30,regular thread,matching,matching,matching,matching,matching
30,denim weight topstitch,8-10 spi,none,heavy weight topstitch thread,matching,matching,matching,matching,matching
31,bartacks,none,100/2,regular thread,matching,matching,matching,matching,matching
32,labels ,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal
33,10k/10k critically taped,soluna/ main label,inner front right,1,10k/10k critically taped,none,none,none,none
34,size label (sample size l),soluna/ size label,center back ,1,"xs, s, m, l, xl",none,none,none,none
35,hang tags,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal
36,mens jacket hang tag,soluna/ mens jacket hang tag,front left belt loop,1,mens jacket hang tag,none,none,none,none
37,pant skinny fit hang tag,soluna/ pant fit hang tag,front left belt loop,1,pant skinny fit hang tag,none,none,none,none
38,care and content labels,supplier/ reference number,location,amount,black,walnut,military,dark slate,gunmetal
39,address label,factory sourced,lining left side seam,1,address label,none,none,none,none
40,content label,factory sourced,lining left side seam,1,content label,none,none,none,none
41,washing label,factory sourced,lining left side seam,1,washing label,none,none,none,none
