,description,item,ref,content,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9
1,all shell is same fabric,overdye pigment $6.90 10k/10k,laka tex  ls1068-dl2a,"85% cotton, 13% poly, 2% spandex",black overdye denim,x,none,none,none,none
2,all shell is same fabric,brown denim overdye 10k/10k $10.65,solis l2-1081,"84.5% cotton, 13.5% poly, 2% spandex",x,brown overdye denim,none,none,none,none
3,insulation,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
4,non insulated,none,none,none,no,none,none,none,none,none
5,seam tape,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
6,critically taped,width...seam tape,sealon,none,yes,none,none,none,none,none
7,lining,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
8,main body,small hole mesh ,please sorce,100% poly,black,none,none,none,none,none
9,lower leg,coated 210t,please sorce,100% nylon,black,none,none,none,none,none
10,waistband & fly,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
11,hand pocket lining,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
