,0,1,2,3,4,5,6,7,8,9
0,nitro mens jacket,none,none,none,none,none,none,sample size large / xs-xxl,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,n18-108,none,none,date created:,none,2017-03-20 00:00:00,none,none
3,style name:,none,access softshell ,none,none,date revised:,none,none,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,none,none,none
5,seam sealing:,none,no seam taping,none,none,fit:,none,none,none,none
6,insulation:,none,no insulation,none,none,target fob:,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,none
10,none,"solis / sote108-b4
100% poly, 248gsm, windstop,
c6 80/20 dwr, 4way stretch",s,100% polyester,color,none,none,none,none,none
13,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
14,non insulated,none,none,none,none,none,none,none,none,none
16,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
17,non taped,none,none,none,none,none,none,none,none,none
19,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
20,brushed tech mesh,supplier / ref code,chin facing,100% polyester,color,none,none,none,none,none
21,shell fabric,supplier / ref code,hand pocket bags,none,color,none,none,none,none,none
22,solid 210t,solis / sonp006-1,media pocket,100% nylon,color,none,none,none,none,none
23,lycra,supplier / ref code,sleeve gaiters,none,color,none,none,none,none,none
