,0,1,2,3,4,5,6,7,8,9
0,airblaster,none,none,none,none,style number: ab19wj3_020,none,none,none,none
1,none,none,none,none,none,designer: mg,none,none,none,none
2,none,none,none,none,none,season: winter 2018/19,none,none,none,none
3,none,none,insulation:,none,none,collection: freedom,none,none,none,none
4,style name:,none,seams:,critically taped,none,vendor: ,none,none,none,none
5,papoose jacket,none,mm rating:,none,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none,none
8,none,updated: 4.18.17,none,none,none,color #1,color #2,color #3,color #4,color #5
9,none,material/trim,description,location,qty,none,none,none,none,none
10,none,none,none,none,fabrics & linings,none,none,none,none,none
11,a,shell fabric,bpw1303 'baby twill'         100% polyester 15k/10k +breathable coating + dwr,"main body, self fabric back neck patch",none,tbd,tbd,tbd,tbd,tbd
12,b,shell fabric,bpw1303 'baby twill'         100% polyester 15k/10k +breathable coating + dwr,eyelet panels at collar,none,tbd,tbd,tbd,tbd,tbd
13,c,shell fabric,bpw1303 'baby twill'         100% polyester 15k/10k +breathable coating + dwr,inset at collar,none,tbd,tbd,tbd,tbd,tbd
14,d,lining,210 t taffeta emb06 stay wild(supplied by hoba tex),"inside lining, powder skirt",none,tbd,tbd,tbd,tbd,tbd
15,e,other , velvety tricot ,"comfort chin guard, inner front pockets at front panel only",none,tbd,tbd,tbd,tbd,tbd
16,f,other,nylon/elastic lycra,"powder skirt, wrist gators, binding at internal pocket, hood drawcord tunnel",none,tbd,tbd,tbd,tbd,tbd
17,g,interfacing,midweight interfacing (item# tbd),contrast eyelet panels at collar detail,none,white,white,white,white,white
18,h,interfacing,heavyweight interfacing (item# tbd),at hood brim,none,white,white,white,white,white
19,i,other ,gripper elastic,powder skirt ,none,black,black,black,black,black
20,k,none,none,none,none,none,none,none,none,none
21,l,none,none,none,zippers,none,none,none,none,none
22,aa,zipper,"ykk no.5 nylon coil zipper, auto-lock slider da8lh1  (zipper closes down)",hand pockets,2,tbd,tbd,tbd,tbd,tbd
23,bb,zipper,"ykk no.5 nylon coil zippers, hidden chain, auto-lock slider da8lh at bottom and auto-lock dalh1 at top side, 2-way zipper (bottom to bottom sliders)",w.'s left side seam ,1,tbd,tbd,tbd,tbd,tbd
24,cc,zipper,"ykk no.5 nylon coil zippers, 1-way  hidden chain , auto-lock slider da8lh1 (zippers close up)", vent,1,tbd,tbd,tbd,tbd,tbd
25,dd,zipper pull,abzp_01 utility cord pulls (supplied by wei rong),"(1) vent, (1) side seam zipper, (2) hand pockets,",4,tbd,tbd,tbd,tbd,tbd
27,none,none,none,none,trims,none,none,none,none,none
28,ee,velcro,hook l: 5cm x h: 3cm,cuff adjustment tab,2,tbd,tbd,tbd,tbd,tbd
29,ff,velcro,loop w: 1.6cm x h: 4.5 cm,cuff adjustments at cuff,6,tbd,tbd,tbd,tbd,tbd
30,gg,stopper,push stopper k343-2n,"(2) hood opening adjustment, (1) bottom hem",3,tbd,tbd,tbd,tbd,tbd
31,hh,stopper,small standard stoppers (k300),(2) at collar drawcord,2,tbd,tbd,tbd,tbd,tbd
32,ii,hand pulls,plastic hand pulls zp11 ," (1) bottom hem, (2) hood",3,tbd,tbd,tbd,tbd,tbd
33,jj,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black,black
34,kk,webbing,flat webbing tape 8mm width," (1)stopper attachments loops at bottom hem, (2) stoper attachemnt at hood",3,tbd,tbd,tbd,tbd,tbd
35,ll,hardware," metal eyelts, 12mm","(6) at hood opening, (12) at collar,(2) inside right bottom hem",20,tbd,tbd,tbd,tbd,tbd
36,mm,hardware,"snap buttons absnp_01 (sets), 17 mm"," (2) powder skirt, (1)side seam tab",3,tbd,tbd,tbd,tbd,tbd
37,nn,hardware,"snap buttons absnp_01 (male snaps), 17 mm","(2) powder skirt,",2,tbd,tbd,tbd,tbd,tbd
38,oo, drawcord,"100% poly round drawcord with heat sealed ends, knot ends. diameter: 0.7cm",collar drawcord,1,tbd,tbd,tbd,tbd,tbd
39,pp,elastic drawcord, 2.5 mm elastic cord,"bottom hem adjustment, hood",2,tbd,tbd,tbd,tbd,tbd
40,qq,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black,black
41,rr,main label,tbd,"inside c.b. neck, see q/a for placement",1,tbd,tbd,tbd,tbd,tbd
42,ss,size label,tbd,sewn in and centered below main label,1,tbd,tbd,tbd,tbd,tbd
43,tt,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black
44,uu,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,tbd,tbd,tbd,tbd,tbd
45,vv,flag  label,ablt_01 flag label (air logo side),left vent 2cm from bottom of vent,1,tbd,tbd,tbd,tbd,tbd
46,ww,branding,tbd,tbd,none,tbd,tbd,tbd,tbd,tbd
47,xx,branding,tbd,tbd,none,tbd,tbd,tbd,tbd,tbd
49,none,none,none,none,hangtags/packaging,none,none,none,none,none
