,0,1,2,3,4,5,6,7,8
0,airblaster,none,none,none,none,style number: ab19wp3_116,none,none,none
1,none,none,none,none,none,designer: mg,none,none,none
2,none,none,none,none,none,season: winter 2018/19,none,none,none
3,none,none,insulation,none,none,collection: freedom series,none,none,none
4,style name:,none,seam sealing,"critically taped: front/back rise, back yoke",none,vendor: ,none,none,none
5,party pants,none,mm rating,none,none,none,none,none,none
7,none,none,pink highlighted = changes,none,none,none,none,none,none
8,none,updated: 2.1.17,none,none,none,color #1,color #2,color #3,color #4
9,none,material/trim,description,location,qty,tbd,tbd,tbd,tbd
10,none,none,none,fabrics & linings,none,none,none,none,none
11,a,shell fabric,sotp069-c1-h 100% polyester  15k/10k+2-layer +breathable coating+dwr (supplied by solis),main body,none,tbd,tbd,tbd,tbd
12,b,lining,210t-e emb07 terry emboss taffeta - (supplied by ecoya),inside lining,none,tbd,tbd,tbd,tbd
13,c,other, velvety tricot - soto048-1 (supplied by solis),"at inside waistband, inside hand pockets at front panels only, inside fly",none,tbd,tbd,tbd,tbd
14,d,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,tbd,tbd,tbd,tbd
16,none,none,none,zippers,none,none,none,none,none
17,aa,zipper,"no.5 ykk nylon coil zippers, auto-lock slider da8lh ",fly ,1,tbd,tbd,tbd,tbd
18,bb,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",front pockets (3),3,tbd,tbd,tbd,tbd
19,cc,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",back pocket,1,tbd,tbd,tbd,tbd
20,dd,zipper pull,abzp_01 utility cord pulls,(4) pockets,4,tbd,tbd,tbd,tbd
22,none,none,none,trims,none,none,none,none,none
23,ee,velcro,hook and loop w: 1.6cm x h: 3 cm,(4)under pocket flaps,4,tbd,tbd,tbd,tbd
24,ff,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","bang snaps (2), cf closure(2)",4,tbd,tbd,tbd,tbd
25,gg,hardware,12mm metal eyelet  (incl. washers),front waistband 5cm each side of center front (2),2,tbd,tbd,tbd,tbd
26,hh,hardware,"abel_01 metal airblaster eyelet (incl. washers, supplied by wellsucceed)",front left belt loop,1,tbd,tbd,tbd,tbd
27,ii,hardware,metal hook closure,at inside waistband,1,black oxidized,black oxidized,black oxidized,black oxidized
28,jj,hardware,metal lace hooks,at inside lower leg gaiters,2,black oxidized,black oxidized,black oxidized,black oxidized
29,kk,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,tbd,tbd,tbd,tbd
30,ll,elastic,gripper elastic,at inside lower leg gators,1,black,black,black,black
31,mm,key clip,plastic key clip attched with webbing loop,inside w. right pocket,1,black,black,black,black
32,nn,webbing,8 mm width webbing,key clip attachment  at wearer's right inside pocket,1,black,black,black,black
33,oo,main label,tbd,inside c.b. waist see q/a for detail,1,tbd,tbd,tbd,tbd
34,pp,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,tbd,tbd,tbd,tbd
35,qq,w/c label/content,satin with print (same as 12/13 label),"at inside side seam, 8 cm down from waistband seam",1,black,black,black,black
36,rr,flag label,ablt_01 logo flag label (airpill side),inside of right back pocket 3cm from top of pocket,1,black/white,black/white,black/white,black/white
37,ss,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,tbd,tbd,tbd,tbd
38,tt,branding,tbd,tbd,1,tbd,tbd,tbd,tbd
39,uu,branding,tbd,tbd,1,tbd,tbd,tbd,tbd
41,none,none,none,packaging/hang tags,none,none,none,none,none
42,vv,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
43,ww,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
44,xx,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black
45,yy,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white
46,zz,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white
47,special instructions:,none,none,none,none,none,none,none,none
48,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none
49,2,stitches per inch:,8-10,none,none,none,none,none,none
50,3,zipper direction:,"cf has right hand slider, pocket zippers close down, vents zips close down",none,none,none,none,none,none
51,4,bar tact:,at stress points,none,none,none,none,none,none
52,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none,none
53,6,grommets/snaps:,should have pellon backing,none,none,none,none,none,none
54,7,hang tag:,should have the above noted hang tags,none,none,none,none,none,none
55,8,needle type:,ball point,none,none,none,none,none,none
56,9,poly bag:,1 garment per bag in airpill logo'd poly bag; ply bag sticker and upc sticker on outside,none,none,none,none,none,none
57,10,thread color:,"matches fabric color, unless noted above",none,none,none,none,none,none
