,label,material/trim,description,location,qty,vintage black,dinoflage,black,dark navy
10,a,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),main body,none,vintage black,,black,dark navy
11,b,shell fabric,sotd109-pr01-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),main body,none,,dinoflage,,
12,c,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),"sleeves, hood",none,black,black,oxblood,camel
13,d,lining,210t-e emb07 tery emboss  taffeta(supplied by ecoya),"inside lining, powder skirt, pocket bag",none,black,black,black,black
14,e,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,black,black,black,black
15,f,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,black,black,black,black
16,g,other,nylon/elastic lycra - sono029-1 (supplied by solis),powder skirt,none,black,black,black,black
17,h,other,"1x1 rib knit,good quality arcylic/spandex",cuffs,none,black,black,black,black
18,i,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black
19,j,other,gripper elastic,powder skirt,none,black,black,black,black
21,l,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white
22,m,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white
25,aa,zipper,"ykk no.8 vislon 2 way  zipper.  auto-lock slider da8lh, silders bottom to bottom   (right hand pull left hand insert)",c.f.,1,black,black,oxblood 097,camel 161
26,bb,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,black,black,oxblood 097,camel 161
27,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,black,black,oxblood 097,camel 161
28,dd,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",1 internal pocket at w.'s inside left,1,black,black,oxblood 097,camel 161
29,ee,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents,  (1) inside pocket",6,black,black,black,black
32,ff,stoppers,round barrel stopper - k-018 , (2) hood,2,black,dark olive,black,black
33,gg,stoppers,k343-2n push stoppers,(2) bottom hem,2,black,dark olive,black,black
34,hh,hand pulls,plastic hand pulls zp11 , (2) bottom hem,2,black,dark olive,black,black
35,ii,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black
36,jj,webbing,flat webbing tape 8mm width, (2)stopper attachments loops at bottom hem,2,black,black,black,black
37,kk,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48
38,ll,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (1) snap tabs at inside bottom hem,  (2) at powder skirt",3,matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48
39,mm,hardware,male snap only (incl. washers),(2) powder skirt,2,matte black bi-48,matte black bi-48,matte black bi-48,matte black bi-48
40,nn, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood opening,1,black,dark olive,black,black
41,oo,elastic drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,black,dark olive,black,black
42,pp,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black
43,qq,main label,abwv_67 freedom main label,"inside c.b. neck, see q/a for placement",1,gold/black,gold/black,gold/black,gold/black
44,rr,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/gold,black/gold,black/gold,black/gold
45,ss,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black
46,tt,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/gold,black/gold,black/gold,black/gold
47,uu,flag  label,ablt_01 flag label (pill logo side),right vent 2cm from bottom of vent,1,black/white,black/white,black/white,black/white
48,vv,branding,abpr_10 large airpill print,"centered on wearer's back, see artwork palcement for detail",1,black,black,oxblood 19-1331tpx,camel 17-1019tpx
49,ww,branding,abwv_103 awesome woven label,"left chest, see art placement for detail",1,black/gold,black/gold,black/gold,black/gold
52,xx,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
53,yy,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
54,zz,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear
55,aaa,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd
56,bbb,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd
