,description,ref,location,content,colorway/4,colorway/5,colorway/6,colorway/7
1,broken twill,"solis / broken twill wl248, 10k/10k, c6 + dwr",a,none,rust  ,ink  ,black,vintage camo broken twill
2,oxford,"solis/ oxford l2-581 / 10k/10k, c6 + dwr",b,none,black,gunmetal,black,x
3,broken twill,"solis / broken twill wl248, 10k/10k, c6 + dwr",b,none,x,x,x,vintage camo broken twill
4,insulation,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill
5,polyfill insulation ,pinneco mantle 40g ,hood and sleeves,100% polyester,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g 
6,polyfill insulation ,pinneco mantle 60g ,body,100% polyester,pinneco mantle 60g ,pinneco mantle 60g ,pinneco mantle 60g ,pinneco mantle 60g 
7,seam tape,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill
8,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped,critically seam taped
9,lining,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill
10,solid 210t ,solis / sonp006-1,hood,100% polyester,black,black,black,black
11,printed satin,lucky / satin lining ltc36838-x-p1847 with dead flowers print,main body,100% polyester,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,x
12,solid satin,lucky / solid satin lining ltc36838-x-p1847,main body,100% polyester,x,x,x,black
13,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black,black
14,solid 210t ,solis / sonp006-1,pocket bags other than hand,100% nylon,black,black,black,black
15,solid 210t ,solis / sonp006-1,top entry hand pocket bags,100% nylon,black,black,black,black
16,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,black
17,brushed tricot,supplier / ref code,side entry hand pocket bags,100% polyester,black,black,black,black
18,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black
19,regular mesh ,supplier / ref code,underarm vents,100% polyester,black,black,black,black
20,regular mesh ,supplier / ref code,goggle pocket,100% polyester,black,black,black,black
21,stretch lycra,supplier / ref code,sleeve gaiters,none,black,black,black,black
