,description,ref,location,content,colorway/4,colorway/5,colorway/6,colorway/7
1,ottoman,solis / sotp080-2l32-i ottoman / 10k/10k dot lam / c6 + dwr,a,none,military,ink,walnut,black
2,insulation,supplier/ reference number,location ,content,military,ink,walnut,black
3,polyfill insulation ,pinneco core 60g,all over,100% polyester,pinneco core 60g,pinneco core 60g,pinneco core 60g,pinneco core 60g
4,seam tape,supplier/ reference number,location ,content,military,ink,walnut,black
5,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped,critically seam taped
6,lining,supplier/ reference number,location ,content,military,ink,walnut,black
7,blanket lining,solis / soty066-d blanket lining / brush / no dwr,hood,none,blanket lining,blanket lining,blanket lining,blanket lining
8,blanket lining,solis / soty066-d blanket lining / brush / no dwr,main body,none,blanket lining,blanket lining,blanket lining,blanket lining
9,blanket lining,solis / soty066-d blanket lining / brush / no dwr,hand pocket bags,none,blanket lining,blanket lining,blanket lining,blanket lining
10,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black,black
11,solid 210t ,solis / sonp006-1,chest pocket bag,100% nylon,black,black,black,black
12,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,black
13,brushed tricot,solis / brushed tricot,chin guard,100% polyester,black,black,black,black
14,regular mesh ,supplier / 1606b02,goggle pocket,100% polyester,black,black,black,black
15,stretch lycra,supplier / ref code,sleeve gaiters,content,black,black,black,black
