,description,ref,location,content,colorway/4,colorway/5
1,micro ripstop,solis / sotl120 micro ripstop c6 dwr,a,none,gunmetal,black
2,insulation,supplier/ reference number,location ,content,gunmetal / bombay,black / oxblood
3,polyfill insulation ,pinneco mantle 100g,all over,100% polyester,pinneco mantle 100g,pinneco mantle 100g
4,seam tape,supplier/ reference number,location ,content,gunmetal / bombay,black / oxblood
5,not taped,none,none,none,not taped,not taped
6,lining,supplier/ reference number,location ,content,gunmetal / bombay,black / oxblood
7,solid 210t ,solis / sonp006-1,main body,100% nylon,bombay 18-1250 tcx ,oxblood 19-1725 tcx 
8,solid 210t ,solis / sonp006-1,sleeves,100% nylon,bombay 18-1250 tcx ,oxblood 19-1725 tcx 
9,solid 210t ,solis / sonp006-1,chest pocket bag,100% nylon,bombay 18-1250 tcx ,oxblood 19-1725 tcx 
10,solid 210t ,solis / sonp006-1,hand pocket bags,100% polyester,bombay 18-1250 tcx ,oxblood 19-1725 tcx 
11,solid 210t ,solis / sonp006-1,chin guard lining,100% polyester,bombay 18-1250 tcx ,oxblood 19-1725 tcx 
