,description,ref,location,amount,colorway/4,colorway/5
1,additional zipper pulls,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
2,branded trims,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
3,"l1-2018-trim-011
half deboss snap
artwork debossed 1mm. 1.7 cm x 1.7cm
pseudo anti silver sas54",luks,"center front, chest pocket, sleeve hem",12 sets,sas54 pseudo anti silver,sas54 pseudo anti silver
4,"l1-2018-trim-w-001
woven label: 5.3 cm x 6.2 cm",please source,front right hem,1,"l1-2018-trim-w-001
woven label: 5.3 cm x 6.2 cm","l1-2018-trim-w-001
woven label: 5.3 cm x 6.2 cm"
5,"l1-2018-trim-004
brown leather hem wrap / artwork debossed 1mm 5.7 cm x 2.87 cm",please source,left chest pocket,1,brown leather,brown leather
6,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm",please source,back right,1,match to shell,match to shell
7,trims,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
8,notions,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
9,velcro,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
10,thread,spi,supplier/ ref number,amount,silt / gunmetal,walnut / ink
11,seams,10-12 spi,Feb-30,none,match to shell,match to shell
12,topstitch,8-10 spi,Feb-30,none,match to shell,match to shell
13,bartacks,none,100/2,none,match to shell,match to shell
14,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell
15,labels ,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
16,dwr,soluna/ main label,center back below neck seam,1,dwr,none
17,size label (sample size s),soluna/ size label,center back below main label,1,"xs, s, m, l",none
18,hang tags,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
19,womens jacket hang tag,soluna/ womens jacket hang tag,lining locker loop,1,womens jacket hang tag,none
20,care and content labels,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
21,address label,factory sourced,lining left side seam,1,address label,none
22,content label,factory sourced,lining left side seam,1,content label,none
23,washing label,factory sourced,lining left side seam,1,washing label,none
