,description,ref,location,content,colorway/4,colorway/5,colorway/6,colorway/7
1,cavalry stretch twill,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,a,none,ink,bone,black,walnut
2,brown faux leather,please source,back right belt loop,none,brown faux leather,brown faux leather,brown faux leather,brown faux leather
3,insulation,supplier/ reference number,location ,content,ink,bone,black,walnut
4,non insulated,none,none,none,none,none,none,none
5,seam tape,supplier/ reference number,location ,content,ink,bone,black,walnut
6,seam tape,tsgs,fully taped,none,fully taped,fully taped,fully taped,fully taped
7,lining,supplier/ reference number,location ,content,ink,bone,black,walnut
8,regular mesh,1606b02 (als-16038),main body,100% polyester,black,black,black,black
9,solid 210t ,solis/ sonp006-1,upper body,100% nylon,black,black,black,black
10,solid 210t ,solis/ sonp006-1,pocket bags,100% nylon,black,black,black,black
11,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black
12,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black,black,black,black
