,description,item,ref,amount,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9
1,back right pocket,#3 coil,non ykk dadr12 fashion drop  // 1-way locking,1,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
2,leg vents,#5 coil,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
3,hem,#5 coil,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
4,zipper pulls,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
5,leg venting, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
6,l1 branded trims,item,slider ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
7,"bib chest pocket, shoulders, side entry",17mm donut post shank,l1-2016-trim-005,7,matte black,none,none,none,none,none
8,"top edge of left hand hand pocket, both edges of right hand pocket",10mm denim rivet ,14-l1sp-089,3,matte black,none,none,none,none,none
9,"bottom left hand pocket,  top left back pocket","10mm 
square rivet ",l1-2016-trim-004,2,matte black,none,none,none,none,none
10,front left hem,l1 embroidery large,factory sorced // l1-2016-trim-027,1,dtm shell,none,none,none,none,none
11,snaps,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
12,"""finger snap hem adjust"" back leg hem",24l metal snap,none,1 per side = 2,psudo anti silver/ black cap,none,none,none,none,none
13,other trims,item,slider ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
14,strap adjusts,metal strap adjust ,please sorce as sample / ref number,1 per side = 2 sets,matte black,none,none,none,none,none
15,right hand pocket,key clip,j&k // hk-001,1,black,none,none,none,none,none
16,front of leg gaiter,metal boot hook,supplier / ref number,1 per side = 2,black,none,none,none,none,none
17,webbing & elastic,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
18,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",none,1,black,none,none,none,none,none
19,boot hook reinforcement,"1"" tab",none,1 per side = 2,black,none,none,none,none,none
20,"""finger snap hem adjust"" reinforcement","1"" tab",none,1 per side = 2,black,none,none,none,none,none
21,velcro,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
22,lining chest pocket,"1/2"" x 2 1/2""",none,1,dtm,none,none,none,none,none
23,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
24,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),# 604 tseu,regular thread,matching,we have had ripping problems in the past,none,none,none,none
25,seams,8-10 spi,# 604 tseu,regular thread,matching,none,none,none,none,none
26,denim weight topstitch,8-10 spi,#606 tseu,heavy weight topstitch thread,matching,none,none,none,none,none
27,bartacks,none,# 604 tseu,regular thread,matching,none,none,none,none,none
28,l1 marketing,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
29,front left belt loop,l1 pant hang tag,supplier //,1,l1 pant hang tag,none,none,none,none,none
30,front left belt loop behind main hang tag,denim warning hang tag,supplier // ,1,denim warning hang tag,none,none,none,none,none
31,front left belt loop behind denim dye warning hang tag,l1 pant fit hang tag ,supplier // slim fit,1,l1 pant fit hang tag  // slim fit,none,none,none,none,none
32,center back waist band facing,l1 wmns pant size label,l1 wmns pant size label,1,l1 wmns pant size label,none,none,none,none,none
33,lining front right,l1 wmns main label,slim fit // 10k/10k // critically taped,1,slim fit // 10k/10k // critically taped,none,none,none,none,none
34,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
35,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
36,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
37,front left belt loop to attach hang tags,clear zip tie,supplier //,1,clear zip tie,none,none,none,none,none
