,0,1,2,3,4,5,6,7,8,9
0,nitro mens jacket,none,none,none,none,none,none,sample size large / xs-xxl,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,n18-109,none,none,date created:,none,2017-03-17 00:00:00,none,none
3,style name:,none,regulator fleece,none,none,date revised:,none,none,none,none
4,waterproof/breathability:,none,dwr only,none,none,block:,none,based on n17-109 reduce fit,none,none
5,seam sealing:,none,no seam taping,none,none,fit:,none,layering piece,none,none
6,insulation:,none,quilted yoke and elbow patches 40g pinneco core,none,none,target fob:,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,none
10,none,kingwhale / kw-1925a,s,none,color,none,none,none,none,none
11,none,wide +  / #mtp090-prqfc ,c1,none,color,none,none,none,none,none
12,none,"ribbing: leader collar, 
1x1 polyester rib knit ",t1 (collar),none,color,none,none,none,none,none
14,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
15,none,pinneco core,yoke and elbow patches,none,40g,none,none,none,none,none
17,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
18,non taped,none,none,none,none,none,none,none,none,none
20,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
21,solid 210t,solis / sonp006-1,pocket bags?,100% nylon,color,none,none,none,none,none
