,0,1,2,3,4,5,6,7,8,9
0,nitro mens pant,none,none,none,none,none,none,sample size large / xs-xxl,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,n18-203,none,none,date created:,none,2017-03-23 00:00:00,none,none
3,style name:,none,incline,none,none,date revised:,none,none,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,based on n17-203 incline fit,none,none
5,seam sealing:,none,critically seam sealed,none,none,fit:,none,regular fit,none,none
6,insulation:,none,non insulated,none,none,target fob:,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,none
10,none,"w+ / wnp122-bj 4sr4 ,   2l",s,none,color,none,none,none,none,none
12,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
13,non insulated,none,none,none,none,none,none,none,none,none
15,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
16,critically seam sealed,tsgs,critically seam sealed,none,critically seam sealed,none,none,none,none,none
18,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
19,solid 210t ,solis / sonp006-1,main body,100% nylon,color,none,none,none,none,none
20,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,none,none,none,none,none
21,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,color,none,none,none,none,none
22,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,color,none,none,none,none,none
23,power stretch mesh,supplier / ref code,leg vents,100% polyester,color,none,none,none,none,none
