,0,1,2,3,4,5,6,7,8,9
0,nitro mens pant,none,none,none,none,sample size large / xs-xxl,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,n18-204 ,none,none,date created:,none,2017-03-24 00:00:00,none,none
3,style name:,none,traverse,none,none,date revised:,none,1899-12-30 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,based on n17-204 invert pant fit,none,none
5,seam sealing:,none,critically seam sealed,none,none,fit:,none,slim fit,none,none
6,insulation:,none,40g pinneco mantle upper body ,none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
9, #5 coil zipper,ykk / dalh 1-way semi auto locking,fly,1,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
10, #5 coil zipper,non ykk /  1-way dfw short non locking,hand pockets,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
11, #5 coil zipper,non ykk /  1-way dfw short non locking,back pockets horizontal ,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
12, #5 coil zipper,non ykk /  1-way dfw short non locking,thigh vents ,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
13, #5 coil zipper,ykk / dalh 1-way semi auto locking,hem gusset ,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
15,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
16,nitro custom pull / n14-trim-139,knk / 3738,hand pocket zippers,1 per side = 2,color,none,none,none,none,none
17,nitro custom pull / n14-trim-139,knk / 3738,back pockets horizontal ,1 per side = 2,color,none,none,none,none,none
18,nitro custom pull / n14-trim-139,knk / 3738,thigh vent zippers,1 per side = 2,color,none,none,none,none,none
20,branded trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
21,nitro trim number //  metal shank (nitro logo),xxx,"waist band closure 
(upper snap)",1,color,none,none,none,none,none
22,nitro trim number // ?? (non logo),xxx,waist band closure (lower snap),1,color,none,none,none,none,none
23,nitro trim number 11nt-033 / logo metal grommet,luks/ et07-n0711,front left belt loop,1,color,none,none,none,none,none
24,nitro trim number // laser etched pu leather patch,none,back right waist band,1,color,none,none,none,none,none
25,heat transfer,none,back left leg,1,color,none,none,none,none,none
26,gripper elastic/ n18-trim-001,chun wo ho/ (jt1343116-bb 25mm),gaiter hems,2,color,none,none,none,none,none
28,trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
29,15mm metal snap,xxx,village hem snaps,1 per side = 2,cap and base color,none,none,none,none,none
30,boot hook,xxx,front gaiter,1 per side = 2,metal color,none,none,none,none,none
31,keyclip,xxx,right hand pocket,1,black,none,none,none,none,none
32,metal eyelets 11mm,luks/ et89,waist band cord exit,1 per side = 2,black,none,none,none,none,none
34,notions,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
35,grosgrain,xxx,under leg snaps,1 per side = 2,color,none,none,none,none,none
36,grosgrain,xxx,under boot hook,1 per side = 2,color,none,none,none,none,none
37,"grosgrain 1/4""",xxx,right hand pocket attach keyclip,1,color,none,none,none,none,none
38,drawcord with clear plastic tips,none,waist,1,color,none,none,none,none,none
41,velcro,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
42,"1"" x 1 1/4"" velcro with rounded corners",paiho loop #1057 on top / paiho hook etn7 on bottom,waist band,1,match to shell,none,none,none,none,none
43," 1/2"" x 1 1/2"" velcro with rounded corners",paiho loop #1057 on bag / paiho hook etn7 on flap,back pocket flaps (hidden),2 per side,match to shell,none,none,none,none,none
45,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
46,seams,10-12 spi,30 / 2,none,match to shell,none,none,none,none,none
47,topstitch,8-10 spi,30 / 2,none,match to shell,none,none,none,none,none
48,bartacks,none,100 / 2,none,match to shell,none,none,none,none,none
50,labels ,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
51,main label,none,center back waist band lining,1,none,none,none,none,none,none
54,hang tags,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
55,main hang tag,none,left hand pocket zipper,1,none,none,none,none,none,none
59,care and content labels,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
60,address label,factory sourced,lining left side seam,1,none,none,none,none,none,none
61,content label,factory sourced,lining left side seam,1,none,none,none,none,none,none
62,washing label,factory sourced,lining left side seam,1,none,none,none,none,none,none
