,0,1,2,3,4,5,6,7,8,9
0,nitro womens jacket,none,none,none,none,sample size: small / range: xs-l,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,0,none,none
2,style number:,none,w18-101,none,none,date created:,none,2017-03-23 00:00:00,none,none
3,style name:,none,palisades,none,none,date revised:,none,2016-07-11 00:00:00,none,none
4,waterproof/breathability:,none,3- layer,none,none,block:,none,0,none,none
5,seam sealing:,none,fully seam sealed,none,none,fit:,none,0,none,none
6,insulation:,none,non insulated,none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
9, #5 coil zipper,ykk / dalh/dag 2-way semi auto locking,center front,1,silder/pull color: tbd zipper tape color: black,none,none,none,none,none
10,#3 vislon aquaguard matte film (5vt9),non ykk /  1-way dfw short non locking,sleeve pocket,1,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
11,#3 aquaguard coil zipper with matte transparent film (5cnt10),non ykk /  1-way dfw short non locking,underarm vents,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
12,#5 aquaguard coil zipper with matte transparent film (5cnt10),non ykk /  1-way dfw short non locking,hand pockets vertical,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
13, #3 coil zipper,non ykk /  1-way dfw short non locking,lining pocket vertical,1,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
15,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
16,nitro custom pull / n14-trim-139,knk / 3738,center front 1 top pull only,1,color,none,none,none,none,none
17,nitro custom pull / n14-trim-139,knk / 3738,sleeve pocket,1,color,none,none,none,none,none
18,nitro custom pull / n14-trim-139,knk / 3738,underarm vents,1 per side = 2,color,none,none,none,none,none
19,nitro custom pull / n14-trim-139,knk / 3738,hand pockets horizontal,1 per side = 2,color,none,none,none,none,none
20,nitro custom pull / n14-trim-139,knk / 3738,lining pocket vertical,1,color,none,none,none,none,none
22,branded trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
23,nitro trim number //  metal snap,xxx,chin,1,color,none,none,none,none,none
28,trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
29,15mm metal snap,luk's / 404,hidden at hem,1 set,metal color,none,none,none,none,none
30,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,metal color,none,none,none,none,none
31,15mm metal snap,luk's / 404,powder skirt - front closure,"1 female, 2 male",metal color,none,none,none,none,none
32,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection on tabs,3 sets,metal color,none,none,none,none,none
33,8mm metal eyelet,luk's / et04,front hood adjust,2 per side = 4,metal color,none,none,none,none,none
34,cord lock,none,front hood adjust,1 per side = 2,color,none,none,none,none,none
35,bead,none,front hood adjust,1 per side = 2,color,none,none,none,none,none
36,8mm metal eyelet,luk's / et04,hem adjust ,2 per side = 4,metal color,none,none,none,none,none
37,cord lock,none,hem adjust ,1 per side = 2,color,none,none,none,none,none
38,bead,none,hem adjust ,1 per side = 2,color,none,none,none,none,none
39,metal eyelets 11mm ,luk's / et89,back hood adjust,1,metal color,none,none,none,none,none
40,cord lock,none,back hood adjust,1,color,none,none,none,none,none
41,bead,none,back hood adjust,1,color,none,none,none,none,none
42,keyclip,none,right hand pocket,1,color,none,none,none,none,none
44,notions,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
45,"grosgrain 1/4""",xxx,attach front hood cord lock,1 per side = 2,color,none,none,none,none,none
