,0,1,2,3,4,5,6,7,8,9
0,nitro womens jacket,none,none,none,none,none,none,sample size small / xs-l,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,none,none,none
2,style number:,none,w18-108,none,none,date created:,none,2017-03-24 00:00:00,none,none
3,style name:,none,reduce anorak,none,none,date revised:,none,none,none,none
4,waterproof/breathability:,none,none,none,none,block:,none,0,none,none
5,seam sealing:,none,not seam sealed,none,none,fit:,none,none,none,none
6,insulation:,none,100g pinneco core ,none,none,target fob:,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,none
10,none,"achievetex, he066-r","""s""",100% recycled polyester,color,none,none,none,none,none
13,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
14,none,pinneco core 100g,all over,100% polyester,100g,none,none,none,none,none
18,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
19,not seam sealed,none,none,none,none,none,none,none,none,none
21,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
22,solid 210t ,solis / sonp006-1,hood,100% nylon,color,color,color,color,color,none
23,solid 210t ,solis / sonp006-1,main body,100% nylon,color,color,color,color,color,none
24,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,color,color,color,color,none
25,solid 210t ,solis / sonp006-1,pocket bags,100% nylon,color,color,color,color,color,none
