,position,ref num,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
8, #5 coil zipper,ykk / dalh/dag 2-way semi auto locking,center front,1,silder/pull color: tbd zipper tape color: black,none,none,none,none,none
9,#3 vislon aquaguard matte film (5vt9),non ykk /  1-way dfw short non locking,sleeve pocket,1,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
10,#3 aquaguard coil zipper with matte transparent film (5cnt10),non ykk /  1-way dfw short non locking,underarm vents,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
11,#5 aquaguard coil zipper with matte transparent film (5cnt10),non ykk /  1-way dfw short non locking,hand pockets vertical,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
12, #3 coil zipper,non ykk /  1-way dfw short non locking,lining pocket vertical,1,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
13,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
14,nitro custom pull / n14-trim-139,knk / 3738,center front 1 top pull only,1,color,none,none,none,none,none
15,nitro custom pull / n14-trim-139,knk / 3738,sleeve pocket,1,color,none,none,none,none,none
16,nitro custom pull / n14-trim-139,knk / 3738,underarm vents,1 per side = 2,color,none,none,none,none,none
17,nitro custom pull / n14-trim-139,knk / 3738,hand pockets horizontal,1 per side = 2,color,none,none,none,none,none
18,nitro custom pull / n14-trim-139,knk / 3738,lining pocket vertical,1,color,none,none,none,none,none
19,branded trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
20,nitro trim number //  metal snap,xxx,chin,1,color,none,none,none,none,none
21,trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
22,15mm metal snap,luk's / 404,hidden at hem,1 set,metal color,none,none,none,none,none
23,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,metal color,none,none,none,none,none
24,15mm metal snap,luk's / 404,powder skirt - front closure,"1 female, 2 male",metal color,none,none,none,none,none
25,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection on tabs,3 sets,metal color,none,none,none,none,none
26,8mm metal eyelet,luk's / et04,front hood adjust,2 per side = 4,metal color,none,none,none,none,none
29,8mm metal eyelet,luk's / et04,hem adjust ,2 per side = 4,metal color,none,none,none,none,none
32,metal eyelets 11mm ,luk's / et89,back hood adjust,1,metal color,none,none,none,none,none
36,notions,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
37,"grosgrain 1/4""",xxx,attach front hood cord lock,1 per side = 2,color,none,none,none,none,none
38,"grosgrain 3/8""",xxx,attach hem cord lock,1 per side = 2,color,none,none,none,none,none
39,"grosgrain 3/8""",xxx,attach back hood cord lock,1,color,none,none,none,none,none
40,"grosgrain 1/4""",xxx,attach keyclip right hand pocket ,1,color,none,none,none,none,none
41,"grosgrain 3/4"" x 1"" ",xxx,powder skirt jacket to pant connection tabs behind snaps,1,color,none,none,none,none,none
42,"elastic 3/4"" (cb 3/4 x 4"") (side tabs 3/4 x 3 1/4""",xxx,powder skirt jacket to pant connection tabs,3 pieces ,color,none,none,none,none,none
43,shockcord,xxx,hood,1,color,none,none,none,none,none
44,shockcord,xxx,hem,1,color,none,none,none,none,none
45,"elastine tape (used in 1"" x1 1/2"" welt)",xxx,lining media pocket cord exit,1,color,none,none,none,none,none
46,bonding film,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
52,velcro,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
53,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,inset cuff on body,1 per side = 2,match to shell,none,none,none,none,none
54,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,none,none,none,none,none
55,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
59,labels ,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
61,hang tags,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
63,care and content labels,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
