,Style,label,Fabric( Need Being Marke and Cut),Trims,material/trim,description,location,qty,Color way-1,Color way-2,Color way-3,Color way-4,Color way-5,Color way-6,Color way-7,Color way-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AB19MNJP1_068_BOM.csv,a,1,0,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),"main body, back pocket, gusset",none,black,heather gray,oxblood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AB19MNJP1_068_BOM.csv,aa,0,1,zipper,"ykk no.4 coil zipper.  auto-lock slider da8lh,   (closes to side seam)",(1) back pocket,1,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AB19MNJP1_068_BOM.csv,bb,0,1,elastic,flat elastic 3.5cm finished height,waistband,1,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB19MNJP1_068_BOM.csv,cc,0,1,drawcord,flat shoelace drawcord with heat sealed ends  w: 1 cm (see our original sample),inside waistband,1,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AB19MNJP1_068_BOM.csv,dd,0,1,main label,tbd,"inside left panel, 2.5cm below waistband seam, and 2cm from back rise",1,black/moonbeam,black/moonbeam,black/moonbeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AB19MNJP1_068_BOM.csv,ee,0,1,size label,abwv_207 made in vietnam woven label,centered below abwv_84,1,black/neutral gray,black/neutral gray,black/neutral gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AB19MNJP1_068_BOM.csv,ff,0,1,w/c label,satin/printed w/c label (supplied by your side),inside cb waist,1,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AB19MNJP1_068_BOM.csv,gg,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AB19MNJP1_068_BOM.csv,hh,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AB19MNJP1_068_BOM.csv,ii,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AB19MNJP1_068_BOM.csv,jj,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AB19MNJP1_068_BOM.csv,kk,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
