,brand,style,item,fabric,trims,ref,description,supplier,position,qty,price,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5
0,sierradesigns,#228184,fabric,1,0,fn6039xdwr,"20d x 30d 90% nylon, 10% spandex, plain weave, 56g/m2, cire finish, dwr finish",apex,main body - shell a,none,3.95,pompeian 18-1658 tcx,military olive 19-0622 tcx,navy 19-3920 tcx,asphalt 19-0201 tcx,none
1,sierradesigns,#228184,fabric,1,0,sbk11236e,"43% cd polyester; 57% polyester, 75d jersey knit, 152g/m2, peached back, wicking finish",seabreezs,main body - shell b - ship shell b side out,none,2.68,"asphalt 19-0201 tcx
/gray 18-0000 tcx",military olive 19-0622 tcx/ dijon 17-1125 tcx,true blue 19-4057 tcx / gray 18-0000 tcx,"asphalt 19-0201 tcx
/gray 18-0000 tcx",none
2,sierradesigns,#228184,fabric,1,0,fn6039xdwr,"20d x 30d 90% nylon, 10% spandex, plain weave, 56g/m2, cire finish, dwr finish",apex,pocket on shell b,none,3.95,asphalt 19-0201 tcx,military olive 19-0622 tcx,asphalt 19-0201 tcx,asphalt 19-0201 tcx,none
3,sierradesigns,#228184,fabric,1,0,lfc2683bqd,"75% polyester, 25% spandex, knit, one side brush, 225g/m2",seabreezs,"cuff, sweep, and shell b cf waist panel",none,4.95,asphalt 19-0201 tcx,asphalt 19-0201 tcx,asphalt 19-0201 tcx,asphalt 19-0201 tcx,none
4,sierradesigns,#228184,fabric,1,0,none,"interfacing, 100% polyester, non-woven, fusible",local,"collar, plackets, kissing welt, shell a interior pocket facing, and shell b cf lyrcra waist panel",none,none,,,,,none
5,sierradesigns,#228184,trims,0,1,none,"#5 coil zipper, separating, du slider, right slider, left insert, water r finish, metal pin box, pin",ykk,center front closure,1,none,ykk 306,ykk 242,ykk 317,ykk 306,none
6,sierradesigns,#228184,trims,0,1,none,"#3 reverse coil zipper, closed end, dablh slider",ykk,hand pockets. shell a only,2,none,ykk 140,ykk 242,ykk 233,ykk 306,none
7,sierradesigns,#228184,trims,0,1,none,"#3 reverse coil zipper, closed end, dablh slider",ykk,shell a - chest pockets,2,none,ykk 140,ykk 242,ykk 233,ykk 306,none
8,sierradesigns,#228184,trims,0,1,m1200814,"suede logo zipper pull, 9mmx72mm",chun wo ho,cf zipper pull,1,0.23,"suede color 32, print color asphalt 19-0201 tcx","suede color 32, print color asphalt 19-0201 tcx","suede color 32, print color asphalt 19-0201 tcx","suede color 32, print color asphalt 19-0201 tcx",none
9,sierradesigns,#228184,trims,0,1,sd-logo-wo-base-l,"large logo patch - woven background, woven logo",clotex,wearer's left bicep - both sides of garment.,2,0.13,asphalt / gray,asphalt / gray,asphalt / gray,asphalt / gray,none
10,sierradesigns,#228184,trims,0,1,none,thread,local,shell b - bartacks,none,none,pompeian 18-1658 tcx,dijon 17-1125 tcx,navy 19-3920 tcx,military olive 19-0622 tcx,none
11,sierradesigns,#228184,trims,0,1,none,thread,local,shell a,none,none,pompeian 18-1658 tcx,military olive 19-622 tcx,navy 19-3920 tcx,asphalt 19-0201 tcx,none
12,sierradesigns,#228184,trims,0,1,none,thread,local,shell b,none,none,gray 18-0000 tcx,dijon 17-1125 tcx,true blue 19-4057 tcx,military olive 19-0622 tcx,none
13,sierradesigns,#228184,trims,0,1,kt-ad-004/m02,"3.5mm, 2-color, cording; with metal cord ends","kwong tai (hk)
industrial ltd.",hood adjustment,none,none,asphalt 19-0201 tcx / gray 18-0000 tcx,asphalt 19-0201 tcx / gray 18-0000 tcx,asphalt 19-0201 tcx / gray 18-0000 tcx,asphalt 19-0201 tcx / gray 18-0000 tcx,none
14,sierradesigns,#228184,trims,0,1,rl-sd-u060501,"1mm thick hypalon, 2-hole cord adjuster, 3mm hole size",trims service,hood adjustment - shell b side only.,none,none,black 19-0303 tcx,black 19-0303 tcx,black 19-0303 tcx,black 19-0303 tcx,none
15,sierradesigns,#228184,trims,0,1,ar-sd-ml02,"main, woven label",nexgen,interior hand pocket. wearer's right on shell b.,1,none,multi,multi,multi,multi,none
