,0,1,2,3,4,5,6,7,8,9
0,airblaster,none,none,none,none,style number: ab18mp4_037,none,none,none,none
1,none,none,none,none,none,designer: jg,none,none,none,none
2,none,none,none,none,none,season: winter 2017/18,none,none,none,none
3,none,none,insulation,none,none,collection: freedom series,none,none,none,none
4,style name:,none,seam sealing,"critically taped: front/back rise, back yoke",none,vendor:  soluna,none,none,none,none
5, pretty tight pant,none,mm rating,none,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none,none
8,none,updated 6.27.16,none,none,none,color #1,color #2,color #3,color #4,none
9,none,material/trim,description,location,qty,vintage black,khaki,kombu green,dinoflage,none
10,none,none,none,none,fabrics & linings,none,none,none,none,ab18mp4_037
11,a,shell fabric,sotd109-c1-y 10k/8k 10k/8k +2-layer +breathable coating+dwr,main body,none,vintage black,khaki,kombu green,dinoflage,ab18mp4_037
12,b,lining,210t-e terry emboss taffeta   (supplied by ecoya),"inside lining, lower leg gaiters",none,black,black,black,black,ab18mp4_037
13,c,lining, velvety tricot - soto048-1 (supplied by solis),"inside waistband, handwarmer pocket bag front panel only, and inside fly panel",none,black,black,black,black,ab18mp4_037
14,d,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,black,black,black,black,ab18mp4_037
15,none,none,none,none,none,none,none,none,none,ab18mp4_037
16,none,none,none,none,zippers,none,none,none,none,ab18mp4_037
17,aa,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",fly,1,vintage black 580,khaki 886,duffel 237,duffel 237,ab18mp4_037
18,bb,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",back pockets,2,vintage black 580,khaki 886,duffel 237,duffel 237,ab18mp4_037
19,cc,zipper,"ykk no.3 nylon conceal zippers, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",phone pocket,1,vintage black 580,khaki 886,duffel 237,duffel 237,ab18mp4_037
20,dd,zipper pull,abzp_01 utility cord pulls (supplied by wei rong),back pockets (2),2,black,black,black,black,ab18mp4_037
21,none,none,none,none,none,none,none,none,none,ab18mp4_037
22,none,none,none,none,trims,none,none,none,none,ab18mp4_037
23,ee,hardware,"abjbt_01 jean button (16.3mm) ('air blaster' deboss logo), incl. washer",at c.f. closure.,1,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,ab18mp4_037
24,ff,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",bang snaps (2),2,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,ab18mp4_037
25,gg,hardware,12mm metal eyelet  (incl. washers),"front waistband 10cm each side of center front (2), left belt loop (1)",3,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,ab18mp4_037
26,hh,hardware,metal lace hook,2 pcs at bottom leg openings.  place at cf of each leg opening.,2,black oxidized,black oxidized,black oxidized,black oxidized,ab18mp4_037
27,ii,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,black,black,dark olive,dark olive,ab18mp4_037
28,jj,elastic,gripper elastic,at inside lower leg gators,2,black,black,black,black,ab18mp4_037
29,kk,main label,abwv_67 freedom main label,"inside c.b. waist, see q/a for detail",1,gold/black,gold/black,gold/black,gold/black,ab18mp4_037
30,ll,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/gold,black/gold,black/gold,black/gold,ab18mp4_037
31,mm,w/c label,satin/printed w/c label   (supplied by your side),"at inside wearers left, 8 cm from waistband seam",1,black,black,black,black,ab18mp4_037
32,nn,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,black/gold,black/gold,black/gold,black/gold,ab18mp4_037
33,oo,branding,abpa_77 freedom seam label,"hammer pocket, see placement page for detail",1,black/oxblood,black/oxblood,brown/ dark brown,brown/ dark brown,ab18mp4_037
34,none,none,none,none,none,none,none,none,none,ab18mp4_037
35,none,none,none,none,packaging/hang tags(bulk only),none,none,none,none,ab18mp4_037
36,none,none,none,none,none,none,none,none,none,ab18mp4_037
37,qq,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,ab18mp4_037
38,rr,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,ab18mp4_037
39,ss,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black,ab18mp4_037
40,tt,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white,ab18mp4_037
41,uu,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white,ab18mp4_037
43,special instructions:,none,none,none,none,none,none,none,none,none
44,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none,none
45,2,stitches per inch:,8-10,none,none,none,none,none,none,none
46,3,zipper direction:,"cf has right hand slider, pocket zippers close down, vents zips close down",none,none,none,none,none,none,none
47,4,bartack:,at stress points,none,none,none,none,none,none,none
48,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none,none,none
49,6,grommets/snaps:,should have pellon backing,none,none,none,none,none,none,none
50,7,hang tag:,should have the above noted hang tags,none,none,none,none,none,none,none
51,8,needle type:,ball point,none,none,none,none,none,none,none
52,9,poly bag:,1 garment per bag in airpill logo'd poly bag; upc sticker on outside ,none,none,none,none,none,none,none
53,10,thread color:,"matches fabric color, unless noted above",none,none,none,none,none,none,none
