,0,1,2,3,4,5,6,7,8
0,airblaster,none,none,none,none,style number: ab17wj3_072,none,none,none
1,none,none,none,none,none,designer:   mg,none,none,none
2,none,none,none,none,none,season: winter 2016/17,none,none,none
3,none,none,insulation:,80gm,none,collection: s.layer,none,none,none
4,style name:,none,seams:,none,none,vendor: soluna,none,none,none
5,lady rainbreaker,none,mm rating:,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none
8,none,updated: 9.10.15,none,none,none,color #1,color #2,color #3,color #4
9,none,material/trim,description,location,qty,black wax,camel wax,red dawn,night jungle
10,none,none,none,none,fabrics & linings,none,none,none,none
11,a,shell fabric,sotp069-q03-ah 100% polyester wax coating tpu menbrane (supplied by solis),"main body, sleeves, hood, pockets",none,black wax,camel wax,n/a,n/a
12,b,shell fabric,sotp069-2l32-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, hood, pockets",none,n/a,n/a,red dawn,n/a
13,c,shell fabric,sotp069-pr03-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, hood, pockets",none,n/a,n/a,n/a,night jungle
14,d,lining,emb07 taffeta emboss  (supplied by ecoya),inside liningpocket bag,none,black,old gold,old gold,black
15,e,other,rib knit,cuffs,none,black,black,black,black
16,k,none,none,none,none,none,none,none,none
17,l,none,none,none,zippers,none,none,none,none
18,aa,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",c.f.,1,black,camel 858,red dawn 520,green 869
19,bb,zipper,"ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1, close to side seam ",(2) pockets,1,black,camel 858,red dawn 520,green 869
20,cc,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),(1) c.f. (2) pockets,3,black,old gold,old gold,black
22,none,none,none,none,trims,none,none,none,none
23,dd,stoppers,round barrel stopper - k-018 , (2) hood,2,black,old gold,old gold,black
24,ee,hardware,"metal eyelets, 12mm (incl. washers)",(2) at hood opening,2,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-17 mid dark anti brass
25,ff, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood opening,1,black,old gold,old gold,black
26,gg,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,cream/black,cream/black,cream/black
27,hh,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,black/cream,black/cream,black/cream
28,ii,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black
29,jj,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,black/cream,black/cream,black/cream
30,kk,branding,abem_36a stay wild arrow embroidery,"left hip, see placement page for detail",1,dk grey 70021,brown 80001,gold m564,dk teal 20002
32,none,none,none,none,hangtags/packaging,none,none,none,none
33,ll,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
34,mm,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
35,nn,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear
36,oo,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd
37,pp,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd
39,special instructions:,none,none,none,none,none,none,none,none
40,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none
41,2,stitches per inch:,8-10,none,none,none,none,none,none
42,3,zipper direction:,"cf has right hand slider, pocket zippers close down, vents zips close down",none,none,none,none,none,none
43,4,bartack:,at stress points,none,none,none,none,none,none
44,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none,none
45,6,grommets/snaps:,should have pellon backing,none,none,none,none,none,none
46,7,thread color:,"matches fabric color, unless noted above",none,none,none,none,none,none
