,0,1,2,3,4,5,6,7,8
0,airblaster,none,none,none,none,style number: ab18mp2_092,none,none,none
1,none,none,none,none,none,designer:   jg,none,none,none
2,none,none,none,none,none,season: winter 2016/17,none,none,none
3,none,none,insulation,none,none,collection: freedom series,none,none,none
4,style name: ,none,seams,critically seam sealed,none,vendor: soluna,none,none,none
5,glacier pant,none,mm rating,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none
8,none,updated: 7.7.16,none,none,none,color #1,color #2,color #3,color #4
9,none,material/trim,description,location,qty,black,camel,navy,willow
10,none,none,none,fabrics & linings,none,none,none,none,none
11,a,shell fabric,sotp069-c1-h 100% polyester 15k/10k+2-layer +breathable coating+dwr (supplied by solis),"main body, waistband, back waist self fabric patch",none,black,camel,navy,willow
12,b,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),"knee panel, butt panels, back pockets",none,vintage black,khaki,dark navy,black
13,c,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"inside lining, lower leg gaiters, back of front hand pocket ",none,black,black,black,black
14,d,lining, velvety tricot - soto048-1 (supplied by solis),"inside waistband, inner front pockets, inside fly panel",none,black,black,black,black
15,e,other ,100% poly mesh - sotc025-1 (supplied by solis),vents,none,black,black,black,black
16,f,other ,nylon/elastic lycra - sono029-1 (supplied by solis),lower leg gators,none,black,black,black,black
18,none,none,none,zippers,none,none,none,none,none
19,aa,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh ",(1) fly,1,vintage black 580,khahi 886,dark navy391,black
20,bb,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close down)", (2) hand pockets ,2,vintage black 580,khahi 886,dark navy391,black
21,cc,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close to outseam)",(1) back pockets,none,vintage black 580,khahi 886,dark navy391,black
22,dd,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh (close down)",(2) lower leg bang zips,2,vintage black 580,khahi 886,dark navy391,black
23,ee,zipper,"ykk no.5 nylon coil zippers,1-way hidden chain, auto-lock slider da8lh1 (zippers close down)",(2) inseam vents,2,vintage black 580,khahi 886,dark navy391,black
24,ff,zipper pull,utility cord zipper pullers with tied end - abzp_01,"(2) vents ,(2)  hand pockets, (1) back pockets",5,black,black,black,black
26,none,none,none,trims,none,none,none,none,none
27,gg,hardware,"snap buttons absnp_01 (sets), 17 mm (incl. washers)","(1) fly opening,  ",1,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18
28,hh,hardware,12mm metal eyelet  (incl. washers),"(2)waistband, (1) left belt loop",3,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18
29,ii,hardware,metal lace hooks ,inside gators at c.f ,2,black oxidized,black oxidized,black oxidized,black oxidized
30,jj,key clip,plastic key clip attched with webbing loop,inside w. right pocket,1,black,black,black,black
31,kk,webbing,8 mm  width webbing,key clip attachment ,1,black,black,black,black
32,ll,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,black,black,black,black
33,mm,elastic,gripper elastic,at inside lower leg gators,1,black,black,black,black
34,nn,main label,abwv_67 freedom main label,"inside c.b. waist, see q/a for reference",1,olive/black,olive/black,olive/black,olive/black
35,oo,size label,abwv_69v vietnam size label,sewn in and centered below abwv_110,1,olive/black,olive/black,olive/black,olive/black
36,pp,w/c label,wash and care,"inside wearers left side seam, 8 cm down from waistband seam",1,black,black,black,black
37,qq,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,olive/black,olive/black,olive/black,olive/black
38,rr,branding,abem_122 block text embroidery,"right back butt patch, see placement page for detail",1,vintage black 70021,black,dark navy 30055,black
39,ss,branding,abwv_110 monder athlete woven label,centered 3cm below abwv_67,1,black/off white/ olive,black/off white/ olive,black/off white/ olive,black/off white/ olive
41,ww,none,none,packaging/hang tags (bulk only),none,none,none,none,none
42,tt,hangtag,tbd,at cf zipper - order of hangtags is tbd,1,tbd,tbd,tbd,tbd
43,uu,hangtag,tbd,at cf zipper - order of hangtags is tbd,1,tbd,tbd,tbd,tbd
44,vv,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black
45,ww,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white
46,xx,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white
48,special instructions:,none,none,none,none,none,none,none,none
49,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none
50,2,stitches per inch:,8-10,none,none,none,none,none,none
51,3,zipper direction:,"cf has right hand slider, pocket zippers close down, 1-way zippers at vents (zippers close down)",none,none,none,none,none,none
52,4,bar tact:,at stress points,none,none,none,none,none,none
53,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none,none
54,6,grommets/snaps:,should have pellon backing,none,none,none,none,none,none
55,7,thread color:,"matches fabric color, unless noted above",none,none,none,none,none,none
