,0,1,2,3,4,5,6,7,8,9
0,airblaster,none,none,none,none,style number: ab18wj1_091,none,none,none,none
1,none,none,none,none,none,designer:   mg,none,none,none,none
2,none,none,none,none,none,season: winter 2017/18,none,none,none,none
3,none,none,insulation:,"100gm in the body and hood,sleeves",none,collection: freedom series,none,none,none,none
4,style name:,none,seams:,critically seam sealed,none,vendor: soluna,none,none,none,none
5,freedom nicolette,none,mm rating:,none,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none,none
8,none,updated: 6.8.16,none,none,none,color #1,color #2,color #3,color #4,none
9,none,material/trim,description,location,qty,black,oxblood,navy,mint julep,none
10,none,none,none,none,fabrics & linings,none,none,none,none,none
11,a,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),"upper body, sleeves, hood, top half of storm flap, pockets, back neck self fabric patch",none,black,oxblood,navy,mint julep,ab18wj1_091
12,b,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),"lower body, lower half of storm flap",none,black,oxide,camel,mint julep,ab18wj1_091
13,c,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"inside lining, powder skirt, pocket bag",none,old gold,black,old gold,black,ab18wj1_091
14,d,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,old gold,black,old gold,black,ab18wj1_091
15,e,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, large internal goggle pocket",none,old gold,black,old gold,black,ab18wj1_091
16,f,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, wrist gators, hood drawcord tunnel",none,old gold,black,old gold,black,ab18wj1_091
17,g,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black,ab18wj1_091
18,h,other,gripper elastic,powder skirt,none,black,black,black,black,ab18wj1_091
19,i,other,100gm insulation,"body, hood, sleeves",none,none,none,none,none,ab18wj1_091
20,j,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white,ab18wj1_091
21,k,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,ab18wj1_091
22,s,none,none,none,none,none,none,none,none,ab18wj1_091
23,none,none,none,none,zippers,none,none,none,none,ab18wj1_091
24,aa,zipper,"ykk no.5 nylon coil zipper,auto-lock sliders da8lh, right hand puller,left hand insert ",c.f.,1,black,oxblood 097,camel 161,mint julep 829,ab18wj1_091
25,bb,zipper,ykk no.5 nylon coil  zipper.  auto-lock puller da8lh1. (zip closes to side seam),(2) hand pockets,2,black,oxblood 097,camel 161,mint julep 829,ab18wj1_091
26,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,black,oxblood 097,camel 161,mint julep 829,ab18wj1_091
27,dd,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zip closes up)",(1) napoleon pocket,1,black,oxblood 097,camel 161,mint julep 829,ab18wj1_091
28,ee,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2)hand pockets(1) napoleon pocket, (1) c.f. (2) vents",6,black,black,black,black,ab18wj1_091
29,none,none,none,none,none,none,none,none,none,ab18wj1_091
30,none,none,none,none,trims,none,none,none,none,ab18wj1_091
31,ff,velcro,hook and loop; l: 2.5cm x h: 1cm,(8) pocket flaps,8,black,dtm oxblood 19-1331tpx,navy t0524,mint t1216,ab18wj1_091
32,gg,stoppers,round barrel stopper - k-018 , (2) hood,2,black,black,bone,bone,ab18wj1_091
33,hh,webbing,"flat webbing tape, 8mm"," key clip attachment at inside wearer's right pocket, ",1,black,black,black,black,ab18wj1_091
34,ii,hardware,"metal eyelets, 12mm  (incl. washers)","(4) at hood opening,",4,pewter bi-10,pewter bi-10,pewter bi-10,pewter bi-10,ab18wj1_091
35,jj,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","(7) storm flap (1) snap tabs at inside bottom hem,  (2) at powder skirt,(2) cuff",12,pewter bi-10,pewter bi-10,pewter bi-10,pewter bi-10,ab18wj1_091
36,kk,hardware,"snap buttons absnp_01 (male side only), 17mm  (incl. washers)","(2) cuff, (2) powder skirt",4,pewter bi-10,pewter bi-10,pewter bi-10,pewter bi-10,ab18wj1_091
37,ll, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood opening,1,black,black,bone,bone,ab18wj1_091
