,0,1,2,3,4,5,6,7
0,airblaster,none,none,none,none,style number: ab19mnjp1_068,none,none
1,none,none,none,none,none,designer: jg,none,none
2,none,none,none,none,none,season: winter 2018/19,none,none
3,none,none,insulation:,none,none,collection: s.layer,none,none
4,style name:,none,seams:,all flatlock,none,vendor: soluna,none,none
5,couch mountain pants,none,mm rating:,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none
8,none,updated: 5.17.17,none,none,none,color #1,color #2,color #3
9,none,material/trim,description,location,qty,black,heather gray,oxblood
10,none,none,none,none,fabrics & linings,none,none,none
11,a,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),"main body, back pocket, gusset",none,black,heather gray,oxblood
13,none,none,none,none,zippers,none,none,none
14,aa,zipper,"ykk no.4 coil zipper.  auto-lock slider da8lh,   (closes to side seam)",(1) back pocket,1,black,black,black
16,none,none,none,none,trims,none,none,none
17,bb,elastic,flat elastic 3.5cm finished height,waistband,1,black,black,black
18,cc,drawcord,flat shoelace drawcord with heat sealed ends  w: 1 cm (see our original sample),inside waistband,1,black,black,black
19,dd,main label,tbd,"inside left panel, 2.5cm below waistband seam, and 2cm from back rise",1,black/moonbeam,black/moonbeam,black/moonbeam
20,ee,size label,abwv_207 made in vietnam woven label,centered below abwv_84,1,black/neutral gray,black/neutral gray,black/neutral gray
21,ff,w/c label,satin/printed w/c label (supplied by your side),inside cb waist,1,black,black,black
22,gg,branding,tbd,tbd,1,tbd,tbd,tbd
24,none,none,none,none,packaging/hang tags(bulk only),none,none,none
26,hh,hangtag,tbd,tbd,1,tbd,tbd,tbd
27,ii,hangtag,tbd,tbd,1,tbd,tbd,tbd
28,jj,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black
29,kk,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white
30,ll,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white
32,special instructions:,none,none,none,none,none,none,none
33,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none
34,2,stitches per inch:,8-10,none,none,none,none,none
35,3,zipper direction:,"cf has right hand slider, pocket zippers close down, vents zips close down",none,none,none,none,none
36,4,bartack:,at stress points,none,none,none,none,none
37,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none
38,6,grommets/snaps:,should have pellon backing,none,none,none,none,none
39,7,hang tag:,should have the above noted hang tags,none,none,none,none,none
40,8,needle type:,ball point,none,none,none,none,none
41,9,poly bag:,1 garment per bag in airpill logo'd poly bag; upc sticker on outside ,none,none,none,none,none
42,10,thread color:,"matches fabric color, unless noted above",none,none,none,none,none
