,label,material/trim,description,location,qty,black,camel,navy,willow
10,a,shell fabric,sotp069-c1-h 100% polyester 15k/10k+2-layer +breathable coating+dwr (supplied by solis),"main body, waistband, back waist self fabric patch",none,black,camel,navy,willow
11,b,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),"knee panel, butt panels, back pockets",none,vintage black,khaki,dark navy,black
12,c,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"inside lining, lower leg gaiters, back of front hand pocket ",none,black,black,black,black
13,d,lining, velvety tricot - soto048-1 (supplied by solis),"inside waistband, inner front pockets, inside fly panel",none,black,black,black,black
14,e,other ,100% poly mesh - sotc025-1 (supplied by solis),vents,none,black,black,black,black
15,f,other ,nylon/elastic lycra - sono029-1 (supplied by solis),lower leg gators,none,black,black,black,black
17,aa,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh ",(1) fly,1,vintage black 580,khahi 886,dark navy391,black
18,bb,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close down)", (2) hand pockets ,2,vintage black 580,khahi 886,dark navy391,black
19,cc,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close to outseam)",(1) back pockets,none,vintage black 580,khahi 886,dark navy391,black
20,dd,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh (close down)",(2) lower leg bang zips,2,vintage black 580,khahi 886,dark navy391,black
21,ee,zipper,"ykk no.5 nylon coil zippers,1-way hidden chain, auto-lock slider da8lh1 (zippers close down)",(2) inseam vents,2,vintage black 580,khahi 886,dark navy391,black
22,ff,zipper pull,utility cord zipper pullers with tied end - abzp_01,"(2) vents ,(2)  hand pockets, (1) back pockets",5,black,black,black,black
24,gg,hardware,"snap buttons absnp_01 (sets), 17 mm (incl. washers)","(1) fly opening,  ",1,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18
25,hh,hardware,12mm metal eyelet  (incl. washers),"(2)waistband, (1) left belt loop",3,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18
26,ii,hardware,metal lace hooks ,inside gators at c.f ,2,black oxidized,black oxidized,black oxidized,black oxidized
27,jj,key clip,plastic key clip attched with webbing loop,inside w. right pocket,1,black,black,black,black
28,kk,webbing,8 mm  width webbing,key clip attachment ,1,black,black,black,black
29,ll,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,black,black,black,black
30,mm,elastic,gripper elastic,at inside lower leg gators,1,black,black,black,black
31,nn,main label,abwv_67 freedom main label,"inside c.b. waist, see q/a for reference",1,olive/black,olive/black,olive/black,olive/black
32,oo,size label,abwv_69v vietnam size label,sewn in and centered below abwv_110,1,olive/black,olive/black,olive/black,olive/black
33,pp,w/c label,wash and care,"inside wearers left side seam, 8 cm down from waistband seam",1,black,black,black,black
34,qq,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,olive/black,olive/black,olive/black,olive/black
35,rr,branding,abem_122 block text embroidery,"right back butt patch, see placement page for detail",1,vintage black 70021,black,dark navy 30055,black
36,ss,branding,abwv_110 monder athlete woven label,centered 3cm below abwv_67,1,black/off white/ olive,black/off white/ olive,black/off white/ olive,black/off white/ olive
38,tt,hangtag,tbd,at cf zipper - order of hangtags is tbd,1,tbd,tbd,tbd,tbd
39,uu,hangtag,tbd,at cf zipper - order of hangtags is tbd,1,tbd,tbd,tbd,tbd
40,vv,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black
41,ww,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white
42,xx,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white
