,label,material/trim,description,location,qty,black,navy,oxblood,mint julep,vintage black,dark navy,khaki,dinoflage
10,a,shell fabric,sotp069-c1-h 100% polyester  15k/10k+2-layer +breathable coating+dwr (supplied by solis),main body,none,black,navy,oxblood,mint julep,,,,
11,b,shell fabric,sotd109-c1-y 100% polyester 10k/8k +2-layer +breathable coating+dwr (supplied by solis),main body,none,,,,,vintage black ,dark navy,khaki,dinoflage
12,c,lining,210t-e emb07 terry emboss taffeta - (supplied by ecoya),inside lining,none,black,black,black,black,black,black,black,black
13,d,other, velvety tricot - soto048-1 (supplied by solis),"at inside waistband, inside hand pockets at front panels only, inside fly",none,black,black,black,black,black,black,black,black
14,e,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,black,black,black,black,black,black,black,black
15,f,other,40gm insulation,main body,none,white,white,white,white,,,,
18,aa,zipper,"no.5 ykk nylon coil zippers, auto-lock slider da8lh ",fly ,1,black,navy 196,oxblood 097,mint julep 829,vintage black 580,dark navy 391,khaki 886,duffel 237
19,bb,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",back pockets,2,black,navy 196,oxblood 097,mint julep 829,vintage black 580,dark navy 391,khaki 886,duffel 237
20,cc,zipper pull,abzp_01 utility cord pulls,(2) pockets,2,black,black,black,bone,black,black,black,black
23,dd,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","bang snaps (2), cf closure(2)",4,pewter bi-10,pewter bi-10,pewter bi-10,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18
24,ee,hardware,12mm metal eyelet  (incl. washers),"front waistband 5cm each side of center front (2), left belt loop (1)",3,pewter bi-10,pewter bi-10,pewter bi-10,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18
25,ff,hardware,metal hook closure,at inside waistband,1,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized
26,gg,hardware,metal lace hooks,at inside lower leg gaiters,2,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized
27,hh,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,black,black,black,black,black,black,black,dark olive
28,ii,elastic,gripper elastic,at inside lower leg gators,1,black,black,black,black,black,black,black,black
29,jj,key clip,plastic key clip attched with webbing loop,inside w. right pocket,1,black,black,black,black,black,black,black,black
30,kk,webbing,8 mm width webbing,key clip attachment  at wearer's right inside pocket,1,black,black,black,black,black,black,black,black
31,ll,main label,abwv_67 freedom main label,inside c.b. waist see q/a for detail,1,gold/black,gold/black,gold/black,bone/ dark green,gold/black,gold/black,gold/black,gold/black
32,mm,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/gold,black/gold,black/gold,black/offwhite,black/gold,black/gold,black/gold,black/gold
33,nn,w/c label/content,satin with print (same as 12/13 label),"at inside side seam, 8 cm down from waistband seam",1,black,black,black,black,black,black,black,black
34,oo,flag label,ablt_01 logo flag label (airpill side),inside of right back pocket 3cm from top of pocket,1,black/white,black/white,black/white,black/white,black/white,black/white,black/white,black/white
35,pp,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,black/gold,black/gold,black/gold,black/offwhite,black/gold,black/gold,black/gold,black/gold
36,qq,branding,abpa_115 airblaster pu label,"left front pocket, see art placement page for detail",1,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black
37,rr,branding,abpa_117 terry pu label,"left side seam, see palcement page for detail",1,mahogany/black,mahogany/black,mahogany/black,mahogany/black,black/khaki,black/khaki,black/khaki,black/khaki
40,ss,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd
41,tt,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd
42,uu,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black,black,black,black,black
43,vv,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white,white,white,white,white
44,ww,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white,white,white,white,white
