,label,material/trim,description,location,qty,tbd,tbd,tbd,tbd
10,a,shell fabric,sota074-2l1-y 100% polyester 10k/8k +2-layer + breathable coating + dwr (supplied by solis),"upper front and back main body, hood, upper storm flap, sleeves",none,tbd,tbd,tbd,tbd
11,b,shell fabric,sota074-2l1-y 100% polyester 10k/8k +2-layer + breathable coating + dwr (supplied by solis),"lower front and back main body, lower storm flap",none,tbd,tbd,tbd,tbd
12,c,lining,210t-e emb07 terry taffeta emboss (supplied by ecoya),"powder skirt, pocket bag, hood lining, sleeve lining, fornt and back body below powder skirt only",none,tbd,tbd,tbd,tbd
13,d,other , velvety tricot - soto048-1 (supplied by solis),"inside lining, comfort chin guard, inner front pocket bag panel, front and back body panel above powder skirt only",none,tbd,tbd,tbd,tbd
14,e,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,tbd,tbd,tbd,tbd
15,f,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, wrist gaiters",none,tbd,tbd,tbd,tbd
16,g,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black
17,h,other,60gm insulation,"main body, hood and sleeves",none,white,white,white,white
18,i,other,gripper elastic,powder skirt,none,black,black,black,black
19,j,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white
20,k,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white
23,aa,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",cf,1,tbd,tbd,tbd,tbd
24,bb,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,tbd,tbd,tbd,tbd
25,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,tbd,tbd,tbd,tbd
26,dd,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",(1) napolean pocket,1,tbd,tbd,tbd,tbd
27,ff,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"cf, (2) hand pockets, (1) napoleon pocket, (2) vents",6,tbd,tbd,tbd,tbd
29,gg,velcro,hook and loop; w: 1.6 cm x h: 5cm,(4)storm flap,4,tbd,tbd,tbd,tbd
30,hh,stoppers,barrel stopper k-018,2) hood,2,tbd,tbd,tbd,tbd
31,ii,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black
32,jj,webbing,flat webbing tape 8mm width, (2)stopper attachments loops at bottom hem,2,tbd,tbd,tbd,tbd
33,kk,hardware,"metal eyelets, 12mm (incl. washers)",(4) at hood opening,4,tbd,tbd,tbd,tbd
34,ll,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (6)c.f., (2) pockets, (1) snap tabs at inside bottom hem,  (2) at powder skirt, (2) cuff tab, (1) back vent",14,tbd,tbd,tbd,tbd
35,mm,hardware,male snap only (incl. washers),"(2) powder skirt, (4)cuffs",6,tbd,tbd,tbd,tbd
36,nn,drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,tbd,tbd,tbd,tbd
37,oo,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black
38,pp,main label,tbd,"inside c.b. neck, see q/a for placement",1,tbd,tbd,tbd,tbd
39,qq,size label,abwv_69v vietnam size label,sewn in and centered below abwv_111,1,tbd,tbd,tbd,tbd
40,rr,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black
41,ss,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,tbd,tbd,tbd,tbd
42,tt,branding,tbd,tbd,1,tbd,tbd,tbd,tbd
43,uu,branding,tbd,tbd,1,tbd,tbd,tbd,tbd
45,vv,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
46,ww,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
47,xx,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear
48,yy,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd
49,zz,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd
