,label,material/trim,description,location,qty,black,camel,pineneedle,sterilng blue,rose smoke
10,a,shell fabric,sotp069-2l32-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, pockets, collar",none,black,bronze brown,pineneedle,sterilng blue,rose smoke
11,b,lining, soto048-p velvety tricot -  smooth side used as face side (supplied by solis),"inside body lining, pocket bag",none,night jungle,night jungle,night jungle,night jungle,night jungle
12,b,lining,210t-e emb07 taffeta emboss 100% nylon (supplied by ecoya),sleeves,none,black,black,black,black,black
13,c,pellon,lightweight interfacing (item# tbd)  (supplied by you),"collar, placket, cuffs, welts",none,white,white,white,white,white
15,aa,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)  (supplied by you)",(5)c.f.,5,bz black copper,bz black copper,bz black copper,sno antique silver,sno antique silver
16,bb,hardware,"metal eyelets, 12mm (incl. washers)  (supplied by you)", (2) inside bottom hem,2,bz black copper,bz black copper,bz black copper,sno antique silver,sno antique silver
17,cc,stopper,leather stopper abstpr_134 leather pig nose  stopper, (2) bottom hem drawcord,2,black,black,black,black,black
18,dd, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm  (supplied by you),bottom hem,1,black,black,black,black,black
19,ee,elastic , 2.5 cm flat elastic  (supplied by you),(2) cuffs,2,black,black,black,black,black
20,ff,main label,tbd,centered 1.5cm below cb neck,1,black/moonbeam,black/moonbeam,black/moonbeam,black/moonbeam,black/moonbeam
21,gg,size label,abwv_207 made in vietnam woven label,sewn in and centered below main label,1,black/neutral gray,black/neutral gray,black/neutral gray,black/neutral gray,black/neutral gray
22,hh,w/c label,satin label with print  (supplied by you),"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black
23,ii,abwvlp_01 woven loop,abwvlp_205 loop label,inside center back neck seam,1,black,black,black,black,black
24,jj,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
26,kk,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
27,ll,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
28,mm,polybag w/ warning matter,airpill logo print:  16 cm (supplied by you),centered on poly bag,1,clear,clear,clear,clear,clear
29,nn,country of origin sticker (supplied by your side),made in china sticker  (supplied by you),centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd
30,oo,upc sticker (supplied by your side),sticker width 3.5 cm  (supplied by you),lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd
