,label,material/trim,description,location,qty,tbd,tbd,tbd,tbd
10,a,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),"main body, back yoke, back pocket flaps",none,tbd,tbd,tbd,tbd
11,b,shell fabric,sotp069-c1-h 100% polyester 15k/10k+2-layer +breathable coating+dwr (supplied by solis),cargo pockets,none,tbd,tbd,tbd,tbd
12,c,lining,210t-e emb07 terry emboss taffeta 100% nylon (supplied by ecoya),inside lining,none,tbd,tbd,tbd,tbd
13,d,lining, velvety tricot - soto048-1 (supplied by solis),"inside wiastband, inner front pockets, inside fly panel",none,tbd,tbd,tbd,tbd
14,e,other ,100% poly mesh - sotc025-1 (supplied by solis),vents,none,tbd,tbd,tbd,tbd
15,f,other,nylon/elastic lycra - sono029-1 (supplied by solis),inside lower leg gaiters,none,tbd,tbd,tbd,tbd
17,aa,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",fly,1,tbd,tbd,tbd,tbd
18,bb,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close down)",(2) hand pockets pockets ,2,tbd,tbd,tbd,tbd
19,cc,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1(zippers close from c.b. to side seam)",(2) back pockets ,2,tbd,tbd,tbd,tbd
20,dd,zipper,"ykk no.5 nylon coil zippers,hidden chain, auto-lock slider da8lh1 (zipper close down)", vents,2,tbd,tbd,tbd,tbd
21,ee,zipper pull,abzp_01 utility cord zipper pullers with tied end ,"(2) vents, (4) pockets,  ",6,tbd,tbd,tbd,tbd
23,ff,hardware,jean button17mm  (incl. washers),(1) fly opening,1,tbd,tbd,tbd,tbd
24,gg,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)"," (4) pocket flaps, (2) bang snaps, (2) back pocket flaps",8,tbd,tbd,tbd,tbd
25,hh,hardware,12mm metal eyelet  (incl. washers),(2)waistband (1) left belt loop,3,tbd,tbd,tbd,tbd
26,ii,hardware,lace hooks,c.f. of lower leg gaiters at gripper elastic,2,black oxidized,black oxidized,black oxidized,black oxidized
27,jj,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,tbd,tbd,tbd,tbd
28,kk,elastic,gripper elastic,at inside lower leg gators,1,black,black,black,black
29,ll,key clip,plastic key clip attched with webbing loop,inside w. right pocket bag,1,black,black,black,black
30,mm,webbing,"flat webbing tape, 8mm",key clip attachment at wearers right inside pocket,1,black,black,black,black
31,oo,main label,tbd,"inside c.b. waist, see q/a for detail",1,tbd,tbd,tbd,tbd
32,pp,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,tbd,tbd,tbd,tbd
33,qq,w/c label,satin/printed w/c label (supplied by your side),at inside wearers left 8 cm from waistband seam,1,black,black,black,black
34,rr,flag  label,ablt_01 flag label (airpill logo side),left vent 2cm up from bottom of vent,1,tbd,tbd,tbd,tbd
35,ss,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,tbd,tbd,tbd,tbd
36,tt,branding,tbd,tbd,1,tbd,tbd,tbd,tbd
38,uu,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
39,vv,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
40,ww,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black
41,xx,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white
42,yy,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white
