,label,material/trim,description,location,qty,tbd,tbd,tbd,tbd
10,a,shell fabric,sotp069-c1-h 100% polyester 15k/10k dwr+breathable coating (supplied by solis),"main body, hood, sleeves, pockets, sleeve tabs, back neck self fabric patch",none,tbd,tbd,tbd,tbd
11,b,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"front and back body, powder skirt, pocket bag, sleeve lining,  hood",none,tbd,tbd,tbd,tbd
12,c,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,tbd,tbd,tbd,tbd
13,d,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, large internal goggle pocket",none,tbd,tbd,tbd,tbd
14,e,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, hood drawcord tunnel, wrist gaiter",none,tbd,tbd,tbd,tbd
15,f,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black
16,g,other,gripper elastic,powder skirt,none,black,black,black,black
17,h,other,clear pvc,pass pocket window opening at outside of powder skirt,none,clear,clear,clear,clear
18,i,insulation,80gm insulation,"main body, hood, sleeves",none,white,white,white,white
19,j,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white
20,k,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white
23,aa,zipper,"ykk no.5 metalux vislon zipper,auto-lock sliders da8lh, right hand puller,left hand insert ",(1)c.f.,1,tbd,tbd,tbd,tbd
24,bb,zipper,ykk no.5 nylon coil  zipper.  auto-lock puller da8lh1. (zip closes down), (2) hand pockets,2,tbd,tbd,tbd,tbd
25,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", (2)vents,2,tbd,tbd,tbd,tbd
26,dd,zipper,"ykk no.5 nylon coil open end, hidden chain zipper, auto-lock slider da8lh",removable powder skirt,1,tbd,tbd,tbd,tbd
27,ee,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zip closes up)",(1) napoleon pocket ,1,tbd,tbd,tbd,tbd
28,ff,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents, (1)napoleon pocket",6,tbd,tbd,tbd,tbd
30,hh,velcro,hook; l: 3.8 .cm x h: 1.6cm,cuff adjustment tab,2,tbd,tbd,tbd,tbd
31,ii,velcro,loop; l: 8cm x h: 1.6cm,cuff adjustment at cuff,2,tbd,tbd,tbd,tbd
32,jj,velcro,hook and loop; w: 1.6 cm x h: 5cm,(4)storm flap,4,tbd,tbd,tbd,tbd
33,kk,velcro,hook and loop,pass pocket at powder skirt,1,tbd,tbd,tbd,tbd
34,ll,hand pulls,round barrel stopper - k-018 ," (2) hood, (2) waistband adjustment",2,tbd,tbd,tbd,tbd
35,mm,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black
36,nn,webbing,flat webbing tape 2cm width,pass pocket pull tab,1,black,black,black,black
37,pp,hardware,"metal eyelets, 12mm  (incl. washers)",(4) at hood opening,4,tbd,tbd,tbd,tbd
38,qq,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","(1) snap tabs at inside bottom hem,  (2) at powder skirt",3,tbd,tbd,tbd,tbd
39,ss,hardware,"snap buttons absnp_01 (male side only), 17mm  (incl. washers)",(2) powder skirt,2,tbd,tbd,tbd,tbd
40,tt, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,"hood opening, (1) waist adjustment",2,tbd,tbd,tbd,tbd
41,uu,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black
42,vv,main label,tbd,"inside c.b. neck, see q/a for details",1,tbd,tbd,tbd,tbd
43,ww,size label,abwv_69v vietnam size label,sewn in and centered below abwv_109,1,tbd,tbd,tbd,tbd
44,xx,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black
45,yy,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,tbd,tbd,tbd,tbd
46,zz,branding,tbd,tbd,1,tbd,tbd,tbd,tbd
47,aaa,branding,tbd,tbd,1,tbd,tbd,tbd,tbd
49,bbb,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
50,ccc,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
51,ddd,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear
52,eee,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd
53,fff,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd
