,label,material/trim,description,location,qty,tbd,tbd,tbd,tbd
10,a,shell fabric,sotp069-c1-h 100% polyester  15k/10k+2-layer +breathable coating+dwr (supplied by solis),main body,none,tbd,tbd,tbd,tbd
11,b,lining,210t-e emb07 terry emboss taffeta - (supplied by ecoya),inside lining,none,tbd,tbd,tbd,tbd
12,c,other, velvety tricot - soto048-1 (supplied by solis),"at inside waistband, inside hand pockets at front panels only, inside fly",none,tbd,tbd,tbd,tbd
13,d,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,tbd,tbd,tbd,tbd
15,aa,zipper,"no.5 ykk nylon coil zippers, auto-lock slider da8lh ",fly ,1,tbd,tbd,tbd,tbd
16,bb,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",front pockets (3),3,tbd,tbd,tbd,tbd
17,cc,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",back pocket,1,tbd,tbd,tbd,tbd
18,dd,zipper pull,abzp_01 utility cord pulls,(4) pockets,4,tbd,tbd,tbd,tbd
20,ee,velcro,hook and loop w: 1.6cm x h: 3 cm,(4)under pocket flaps,4,tbd,tbd,tbd,tbd
21,ff,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","bang snaps (2), cf closure(2)",4,tbd,tbd,tbd,tbd
22,gg,hardware,12mm metal eyelet  (incl. washers),front waistband 5cm each side of center front (2),2,tbd,tbd,tbd,tbd
23,hh,hardware,"abel_01 metal airblaster eyelet (incl. washers, supplied by wellsucceed)",front left belt loop,1,tbd,tbd,tbd,tbd
24,ii,hardware,metal hook closure,at inside waistband,1,black oxidized,black oxidized,black oxidized,black oxidized
25,jj,hardware,metal lace hooks,at inside lower leg gaiters,2,black oxidized,black oxidized,black oxidized,black oxidized
26,kk,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,tbd,tbd,tbd,tbd
27,ll,elastic,gripper elastic,at inside lower leg gators,1,black,black,black,black
28,mm,key clip,plastic key clip attched with webbing loop,inside w. right pocket,1,black,black,black,black
29,nn,webbing,8 mm width webbing,key clip attachment  at wearer's right inside pocket,1,black,black,black,black
30,oo,main label,tbd,inside c.b. waist see q/a for detail,1,tbd,tbd,tbd,tbd
31,pp,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,tbd,tbd,tbd,tbd
32,qq,w/c label/content,satin with print (same as 12/13 label),"at inside side seam, 8 cm down from waistband seam",1,black,black,black,black
33,rr,flag label,ablt_01 logo flag label (airpill side),inside of right back pocket 3cm from top of pocket,1,black/white,black/white,black/white,black/white
34,ss,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,tbd,tbd,tbd,tbd
35,tt,branding,tbd,tbd,1,tbd,tbd,tbd,tbd
36,uu,branding,tbd,tbd,1,tbd,tbd,tbd,tbd
38,vv,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
39,ww,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
40,xx,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black
41,yy,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white
42,zz,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white
