,Style,label,material/trim,description,location,qty,black,heather gray,oxblood,sea pine,tbd,tbd.1,tbd.2,tbd.3,tbd.4,tbd.5,duffel,rust,butter,khaki,kombu green,dark navy,moose,pizza,mens fish,olive night,camel,pineneedle,sterilng blue,rose smoke,vintage black,dinoflage,forest,dk khaki,greyskull,wood duck critterflage,evergreen,flame,day jungle,navy,mint julep,dark olive,puddle,bone,black spruce,stone critterflage,gold,black wax,camel wax,soviet grey wax,willow,dirks critterflage,vintage blue wax,see see collab,vintage blue,red dawn,night jungle,shell fabric,bpw1303 'baby twill'         100% polyester 15k/10k +breathable coating + dwr,"main body, self fabric back neck patch",none
0,AB19MNJP1_068_BOM.csv,a,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),"main body, back pocket, gusset",none,black,heather gray,oxblood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AB19MNJP1_068_BOM.csv,aa,zipper,"ykk no.4 coil zipper.  auto-lock slider da8lh,   (closes to side seam)",(1) back pocket,1,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AB19MNJP1_068_BOM.csv,bb,elastic,flat elastic 3.5cm finished height,waistband,1,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB19MNJP1_068_BOM.csv,cc,drawcord,flat shoelace drawcord with heat sealed ends  w: 1 cm (see our original sample),inside waistband,1,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AB19MNJP1_068_BOM.csv,dd,main label,tbd,"inside left panel, 2.5cm below waistband seam, and 2cm from back rise",1,black/moonbeam,black/moonbeam,black/moonbeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AB19MNJP1_068_BOM.csv,ee,size label,abwv_207 made in vietnam woven label,centered below abwv_84,1,black/neutral gray,black/neutral gray,black/neutral gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AB19MNJP1_068_BOM.csv,ff,w/c label,satin/printed w/c label (supplied by your side),inside cb waist,1,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AB19MNJP1_068_BOM.csv,gg,branding,tbd,tbd,1,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AB19MNJP1_068_BOM.csv,hh,hangtag,tbd,tbd,1,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AB19MNJP1_068_BOM.csv,ii,hangtag,tbd,tbd,1,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AB19MNJP1_068_BOM.csv,jj,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AB19MNJP1_068_BOM.csv,kk,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AB19MNJP1_068_BOM.csv,ll,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AB19WF1_119_BOM.csv,a,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),"sleeves, placket, collar",none,black,,oxblood,sea pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AB19WF1_119_BOM.csv,a,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),front and back main body,none,heather gray,,oxblood,sea pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AB19WF1_119_BOM.csv,a,contrast stitching,thread,"flatlock seam at fornt and back raglan, and underarm seam",none, black,,beet red 19-2030tpx,griffin 17-5102tpx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB19WF1_119_BOM.csv,aa,hardware,"sungrip chic plastic snap button, 13mm (incl. washers)",(4) placket,4,black g580  ,,red g527,gray g577 top with gv bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AB19WF1_119_BOM.csv,bb,main label,tbd,centered 1.5cm below cb neck,1,black/moonbeam,,black/moonbeam,black/moonbeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AB19WF1_119_BOM.csv,cc,size label,abwv_207 made in vietname woven label,sewn in and centered below abwv_84,1,black/neutral gray,,black/neutral gray,black/neutral gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AB19WF1_119_BOM.csv,dd,w/c label,satin label with print,"wearer's left side seam, 10 cm up from waistband seam",1,black/white,,black/white,black/white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AB19WF1_119_BOM.csv,ee,abwvlp_01 woven loop,abwvlp_205 loop label,inside center back neck seam,1,black,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AB19WF1_119_BOM.csv,ff,branding,tbd,tbd,1,tbd,,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AB19WF1_119_BOM.csv,gg,hangtag,tbd,tbd,1,tbd,,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AB19WF1_119_BOM.csv,hh,hangtag,tbd,tbd,1,tbd,,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AB19WF1_119_BOM.csv,ii,polybag w/ warning matter (supplied by your side),airpill logo print:  16 cm,same as 1314 bulk outerwear production,1,tbd,,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AB19WF1_119_BOM.csv,jj,upc sticker,sticker width 3.5 cm,"place in looker's lower right corner, 2 cm from each edge.  upc sticker to be provided by factory for 13/14",1,white,,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AB19WF1_119_BOM.csv,kk,country of origin sticker,made in china sticker,centered above upc sticker,1,white,,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AB19MS1_111_BOM-170415.csv,a,shell fabric,sotp069-c1-h 100% polyester 15k/10k dwr+breathable coating (supplied by solis),main body,none,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AB19MS1_111_BOM-170415.csv,b,shell fabric,sotp069-c1-h 100% polyester 15k/10k dwr+breathable coating (supplied by solis),"knee patches, back pocket",none,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AB19MS1_111_BOM-170415.csv,c,lining,210t-e emb07 terry emboss taffeta - (supplied by ecoya),inside lining,none,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB19MS1_111_BOM-170415.csv,d,other , velvety tricot - soto048-1 (supplied by solis), inner front pockets,none,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
