MATERIAL_ID,0,1,2,3,4,5,6,7,8,9
10,,,,,FABRICS & LININGS,,,,,
11,A,Shell Fabric,SOTP013-2L32-AE 100% Polyester 80/20 DWR TPU MEMBRANE (supplied by SOLIS),"Main Body, sleeves, pockets, collar",,BLACK,FOREST,DK KHAKI,GREYSKULL,
12,B,Shell Fabric,SOTP013-PR20-AE 100% Polyester 80/20 DWR TPU MEMBRANE (supplied by SOLIS),"Main Body, sleeves, pockets, collar",,,,,,WOOD DUCK CRITTERFLAGE
13,C,Lining, SOTO048-P Velvety Tricot -  SMOOTH SIDE USED AS FACE SIDE,Front and back body ONLY,,NIGHT JUNGLE,NIGHT JUNGLE,NIGHT JUNGLE,NIGHT JUNGLE,
14,D,Lining, SOTO048-1 Velvety Tricot -  SMOOTH SIDE USED AS FACE SIDE,Front and back body ONLY,,,,,,BLACK
15,E,Lining, SOTO048-1 Velvety Tricot -  SMOOTH SIDE USED AS FACE SIDE,"Inside lining, pocket bag, sleeves",,BLACK,BLACK,BLACK,BLACK,BLACK
16,F,Pellon,lightweight interfacing (item# TBD),"Collar, placket, cuffs, welts",,WHITE,WHITE,WHITE,WHITE,WHITE
19,BB,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm (incl. washers)",(5)C.F.,5,BI-08 DULL DARK PEWTER,BI-17 MID DARK ANTI BRASS,BI-17 MID DARK ANTI BRASS,BI-08 DULL DARK PEWTER,BI-17 MID DARK ANTI BRASS
20,BB, Drawcord,Flat Shoelace drawcord WITH Black Oxidize finish METAL ENDS  w: 1 cm ,Bottom hem,1,BLACK,BLACK,BLACK,BLACK,BLACK
21,BB,Hardware,"metal eyelets, 12mm (incl. washers)", (2) inside bottom hem,2,BI-08 DULL DARK PEWTER,BI-17 MID DARK ANTI BRASS,BI-17 MID DARK ANTI BRASS,BI-08 DULL DARK PEWTER,BI-17 MID DARK ANTI BRASS
22,BB,Stopper,Leather stopper ABSTPR_01, (2) bottom hem drawcord,2,BROWN,BROWN,BROWN,BROWN,BROWN
23,BB,Elastic , 2.5 cm flat elastic ,(2) Cuffs,2,BLACK,BLACK,BLACK,BLACK,BLACK
24,DD,Main Label,ABWV_84 S.Layer Main Label,"inside c.b. neck, see Q/A for placement",1,CREAM/BLACK,CREAM/BLACK,CREAM/BLACK,CREAM/BLACK,CREAM/BLACK
25,EE,Size Label,ABWV_69 Inside Joke Label,sewn in and centered below main label,1,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM
26,FF,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK,BLACK
27,GG,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back neck seam,1,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM
28,HH,Branding,ABPA_82 Leather Terry Patch,"LEFT back side seam, see placement page for detail",1,BLACK/WHITE,BLACK/WHITE,BLACK/WHITE,BLACK/WHITE,BLACK/WHITE
31,II,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,TBD
32,JJ,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,TBD
33,KK,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR
34,LL,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,TBD,TBD,TBD,TBD,TBD
35,MM,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,TBD,TBD,TBD,TBD,TBD
40,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,,
42,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,,
