MATERIAL_ID,0,1,2,3,4,5,6,7,8,9
5, Pretty Tight Pant,,MM Rating,,,,,,,
10,,,,,FABRICS & LININGS,,,,,AB18MP4_037
11,A,Shell Fabric,SOTD109-C1-Y 10K/8K 10K/8K +2-Layer +breathable coating+DWR,Main Body,,VINTAGE BLACK,KHAKI,KOMBU GREEN,DINOFLAGE,AB18MP4_037
12,B,Lining,210T-E Terry Emboss Taffeta   (Supplied by Ecoya),"Inside lining, lower leg gaiters",,BLACK,BLACK,BLACK,BLACK,AB18MP4_037
13,C,Lining, Velvety Tricot - SOTO048-1 (supplied by Solis),"inside waistband, handwarmer pocket bag front panel only, and inside fly panel",,BLACK,BLACK,BLACK,BLACK,AB18MP4_037
14,D,Other,nylon/elastic lycra - SONO029-1 (supplied by Solis),"lower leg gators, internal crotch gusset",,BLACK,BLACK,BLACK,BLACK,AB18MP4_037
16,,,,,ZIPPERS,,,,,AB18MP4_037
17,AA,Zipper,"YKK No.5 nylon coil zippers, auto-lock slider DA8LH",Fly,1,VINTAGE BLACK 580,KHAKI 886,DUFFEL 237,DUFFEL 237,AB18MP4_037
18,BB,Zipper,"YKK No.5 nylon coil zippers, auto-lock slider DA8LH1 (ZIPPERS CLOSE FROM C.B. TO SIDE SEAM)",Back Pockets,2,VINTAGE BLACK 580,KHAKI 886,DUFFEL 237,DUFFEL 237,AB18MP4_037
19,CC,Zipper,"YKK No.3 nylon conceal zippers, auto-lock slider DA8LH1 (ZIPPERS CLOSE FROM C.B. TO SIDE SEAM)",Phone pocket,1,VINTAGE BLACK 580,KHAKI 886,DUFFEL 237,DUFFEL 237,AB18MP4_037
20,DD,Zipper Pull,ABZP_01 Utility cord pulls (supplied by Wei Rong),back pockets (2),2,BLACK,BLACK,BLACK,BLACK,AB18MP4_037
23,EE,Hardware,"ABJBT_01 Jean Button (16.3mm) ('AIR BLASTER' Deboss Logo), incl. washer",at C.F. closure.,1,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,AB18MP4_037
24,FF,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm  (incl. washers)",Bang snaps (2),2,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,AB18MP4_037
25,GG,Hardware,12mm Metal eyelet  (incl. washers),"front waistband 10cm each side of center front (2), LEFT belt loop (1)",3,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,DARK ANTI BRASS BI-18,AB18MP4_037
26,HH,Hardware,Metal Lace Hook,2 pcs at bottom leg openings.  Place at CF of each leg opening.,2,BLACK OXIDIZED,BLACK OXIDIZED,BLACK OXIDIZED,BLACK OXIDIZED,AB18MP4_037
27,II,Drawcord,Polyester Flat Lace drawcord with metal sealed ends.  w:1 cm,Waistband,1,BLACK,BLACK,DARK OLIVE,DARK OLIVE,AB18MP4_037
28,JJ,Elastic,gripper elastic,at inside lower leg gators,2,BLACK,BLACK,BLACK,BLACK,AB18MP4_037
29,KK,Main Label,ABWV_67 Freedom Main Label,"inside c.b. waist, see Q/A for detail",1,GOLD/BLACK,GOLD/BLACK,GOLD/BLACK,GOLD/BLACK,AB18MP4_037
30,LL,Size Label,ABWV_69V vietnam Size Label,sewn in and centered below main label,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MP4_037
31,MM,W/C Label,satin/printed w/c label   (supplied by your side),"at inside wearers left, 8 cm from waistband seam",1,BLACK,BLACK,BLACK,BLACK,AB18MP4_037
32,NN,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back waist seam,1,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,BLACK/GOLD,AB18MP4_037
33,OO,BRANDING,ABPA_77 Freedom Seam Label,"Hammer pocket, see placement page for detail",1,BLACK/OXBLOOD,BLACK/OXBLOOD,BROWN/ DARK BROWN,BROWN/ DARK BROWN,AB18MP4_037
37,QQ,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MP4_037
38,RR,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,AB18MP4_037
39,SS,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,BLACK,BLACK,BLACK,BLACK,AB18MP4_037
40,TT,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,WHITE,WHITE,WHITE,WHITE,AB18MP4_037
41,UU,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,WHITE,WHITE,WHITE,WHITE,AB18MP4_037
46,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,,
48,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,,
52,9,POLY BAG:,1 garment per bag in Airpill logo'd poly bag; UPC sticker on outside ,,,,,,,
