MATERIAL_ID,0,1,2,3,4,5,6,7,8,9
10,,,,,FABRICS & LININGS,,,,,
11,A,Shell Fabric,SOTP069-Q03-AH 100% Polyester WAX COATING TPU MEMBRANE (supplied by SOLIS),"Main body, pockets",,BLACK WAX,CAMEL WAX,SOVIET GREY WAX,VINTAGE BLUE WAX,BLACK WAX
12,B,Lining,EMB07 Taffeta emboss (Supplied by ECOYA),Inside lining pocket bag,,BLACK,BLACK,BLACK,BLACK,BLACK
16,AA,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm (incl. washers)", (4)C.F.,4,BI-17 MID DARK ANTI BRASS,BI-17 MID DARK ANTI BRASS,BI-17 MID DARK ANTI BRASS,BI-17 MID DARK ANTI BRASS,BI-17 MID DARK ANTI BRASS
17,BB,Main Label,ABWV_84 S.Layer Main Label,"inside c.b. neck, see Q/A for placement",1,CREAM/BLACK,CREAM/BLACK,CREAM/BLACK,CREAM/BLACK,CREAM/BLACK
18,CC,Size Label,ABWV_69 Inside Joke Label,sewn in and centered below main label,1,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM
19,DD,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK,BLACK
20,EE,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back neck seam,1,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM
21,FF,Branding,See See Patch,"LEFT chest, see placement page for detail",1,,,,,BLACK/WHITE
22,GG,Branding,ABWV_76 Glacier Seam Label,"LEFT pocket, see placement page for detail",1,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM,BLACK/CREAM
25,II,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,TBD
26,JJ,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD,TBD
27,KK,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,CLEAR,CLEAR,CLEAR,CLEAR,CLEAR
28,LL,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,TBD,TBD,TBD,TBD,TBD
29,MM,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,TBD,TBD,TBD,TBD,TBD
34,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,,
36,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,,
