MATERIAL_ID,0,1,2,3,4,5,6,7,8,9
3,,,Insulation:,,,Collection: Glacier,,,,
10,,,,,FABRICS & LININGS,,,,,
11,A,Shell Fabric,SOTM108-2L2-H 100%Nylon 10k/8k DWR+BREATHABLE COATING (supplied by Li Peng),"Main body, sleeves. Hood",,BLACK,EVERGREEN,FLAME,DAY JUNGLE,AB18MJ1_084G
12,B,Lining,210T-E EMB07 Terry Taffeta emboss (Supplied by ECOYA),"Powder skirt, pocket bag, sleeve lining, hood lining, below powder skirt",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
13,C,Other , Velvety Tricot - SOTO048-1 (supplied by Solis),"comfort chin guard, inner front pocket bag panel",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
14,D,Other,100% poly MESH - SOTC025-1 (supplied by Solis),"vents, internal goggle pocket",,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
15,E,Other,nylon/elastic lycra - SONO029-1 (supplied by Solis),powder skirt,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
16,F,Other,SOTF104-1 100% POLYESTER FLEECE,front and back inside lining to top of powder skirt ONLY,,BLACK,FIRE,FIRE,BLACK,AB18MJ1_084G
17,G,Other,Lycra binding tape,Internal mesh pocket opening,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
18,H,Other,Gripper elastic,powder skirt,,BLACK,BLACK,BLACK,BLACK,AB18MJ1_084G
20,J,Pellon,lightweight interfacing (item# TBD),"Inner storm flap, powder skirt closure flaps",,WHITE,WHITE,WHITE,WHITE,AB18MJ1_084G
21,K,Pellon,heavyweight interfacing (item# TBD),hood brim,,WHITE,WHITE,WHITE,WHITE,AB18MJ1_084G
24,AA,Zipper,"YKK No.5 coil zipper.  Auto-lock slider DA8LH,   (Right hand pull left hand insert)",CF,1,BLACK,EVERGREEN 153,FLAME 819,CORDOVAN 048,AB18MJ1_084G
25,BB,Zipper,YKK  No.5 nylon coil zippers.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN),( 2) hand pockets,2,BLACK,EVERGREEN 153,FLAME 819,CORDOVAN 048,AB18MJ1_084G
26,CC,Zipper,"YKK  No.5 nylon coil zippers,1-way hidden chain.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN)", vents,2,BLACK,EVERGREEN 153,FLAME 819,CORDOVAN 048,AB18MJ1_084G
27,DD,Zipper,"YKK  No.5 nylon coil zippers hidden chain ,auto-lock slider DA8LH1 (zipper closes UP)",1 internal pocket at w.'s inside LEFT,1,BLACK,EVERGREEN 153,FLAME 819,CORDOVAN 048,AB18MJ1_084G
28,EE,Zipper,"YKK No.5 nylon coil, hidden chain zipper, auto-lock slider DA8LH",(1)Removable Powder Skirt,1,BLACK,EVERGREEN 153,FLAME 819,CORDOVAN 048,AB18MJ1_084G
