MATERIAL_ID,0,1,2,3,4,5,6,7,8
3,,,Insulation:,"80gm at body, sleeves",,Collection:S.Layer Series,,,
10,,,,,FABRICS & LININGS,,,,
11,A,Shell Fabric,SOTA074-R01 100% Polyester  CIRE coating,"Main body, sleeves, pockets",,BLACK,OLIVE NIGHT,OXBLOOD,SEA PINE
12,C,Other,"1x1 rib knit,good quality Arcylic/Spandex","Cuffs, collar",,BLACK,BLACK,BLACK,BLACK
13,D,Lining,210T Taffeta 100% Nylon EMB07 Terry Emboss supplied by ECOYA,Inside liningLower pocket bag,,BLACK,OLD GOLD,OLD GOLD,BLACK
14,E,Insulation,80gm Insulation,"Main body, sleeves",,,,,
15,F,Pellon,lightweight interfacing (item# TBD), collar,,WHITE,WHITE,WHITE,WHITE
17,,,,,ZIPPERS,,,,
18,AA,Zipper,"YKK No.5 METALUX VISLON zipper,auto-lock sliders DA8LH, Right hand puller,Left hand insert ",C.F.,1,BLACK TAPE WITH VYMJ MATTE BLACK TEETH,OLIVE NIGHT 173 TAPE WITH VYMJ MATTE BLACK TEETH,OXBLOOD 097 TAPE WITH VYMJ MATTE BLACK TEETH,SEA PINE 320 TAPE WITH VYMJ MATTE BLACK TEETH
21,DD,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm  (incl. washers)",(2) pockets,2,BZ BLACK COPPER,BZ BLACK COPPER,BZ BLACK COPPER,BZ BLACK COPPER
22,EE,Main Label,TBD,Centered 1.5cm below CB neck,1,BLACK/MOONBEAM,BLACK/MOONBEAM,BLACK/MOONBEAM,BLACK/MOONBEAM
23,FF,Size Label,ABWV_207 Made in Vietnam Woven Label,sewn in and centered below ABWV_84,1,BLACK/NEUTRAL GRAY,BLACK/NEUTRAL GRAY,BLACK/NEUTRAL GRAY,BLACK/NEUTRAL GRAY
24,GG,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK
25,HH,Loop Label,ABWVLP_205 Loop Label,inside center back neck seam,1,BLACK,BLACK,BLACK,BLACK
26,II,Woven Label,TBD,TBD,1,TBD,TBD,TBD,TBD
27,JJ,Woven Label,TBD,TBD,1,TBD,TBD,TBD,TBD
30,KK,Hangtag,Aquapel hangtag,CF Zipper,1,BLACK/WHITE,BLACK/WHITE,BLACK/WHITE,BLACK/WHITE
31,LL,Hangtag,TBD,TBD,1,BLACK/WHITE,BLACK/WHITE,BLACK/WHITE,BLACK/WHITE
32,MM,polybag w/ warning matter,Airpill Logo Print:  16 cm,TBD,1,TBD,TBD,TBD,TBD
33,NN,Country of Origin sticker (supplied by your side),Made in China sticker,TBD,1,TBD,TBD,TBD,TBD
34,OO,UPC sticker (supplied by your side),Sticker width 3.5 cm,TBD,1,TBD,TBD,TBD,TBD
39,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,
41,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,
45,9,POLY BAG:,1 garment per bag in Airpill logo'd poly bag; UPC sticker on outside ,,,,,,
