MATERIAL_ID,0,1,2,3,4,5,7
6,,INSULATION: ,,"60G Body, 40g Hood and Sleeves ""CS"" POLYFILL ",,TARGET FOB: ,47
11,A,OXFORD NO WASHOUT 5k/5k COATING + C6 DWR 80/10 $4.00,SOLIS L2-584,100% POLY,,,
12,B,BROKEN TWILL 5K/5K HYDROPHILIC COATING C6 DWR 80/10,SOLIS WL248,100% POLY,,,
15,"40G ""CS"" POLYFILL HOOD AND SLEEVES",,POLYFILL,,"40G ""CS"" POLYFILL HOOD AND SLEEVES",,
16,"60G ""CS"" POLYFILL BODY",,POLYFILL,,"60G ""CS"" POLYFILL BODY",,
22,"HOOD,  SLEEVES, FRONT PANELS, POCKET BAGS",SOLID 210D,SOLIS / REF NUMBER,,,,
23,BACK PANEL,PRINTED 210T,SOLIS / REF NUMBER,,,,
24,LOWER BODY & POWDER SKIRT ,SOLID COATED 210D,SOLIS / REF NUMBER,,,,
25,CHIN,BRUSHED TRICOT,SOLIS / REF NUMBER,,,,
26,GOGGLE POCKET & UNDERAM VENTS,REGULAR MESH,SOLIS / REF NUMBER,,,,
27,SLEEVE GAITER,STRETCH LYCRA,SOLIS / REF NUMBER,,,,
