MATERIAL_ID,0,1,2,3,4
9,CENTER FRONT,#5 VISLON,YKK ZA/DAG SNAP ON // 2-WAY SEPERATING AUTO LOCK ,1,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / DTM TAPE
10,UNDERARMS,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK (ZIP UP TO CLOSE) ,1 PER SIDE = 2,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / DTM TAPE
11,SIDE ENTRY HAND POCKETS,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK ,1 PER SIDE = 2,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / DTM TAPE
12,INSIDE POCKET,#5 COIL,DADHR DIECAST WIRE (NON YKK) AUTO LOCK ,1,PSEUDO ANTI SILVER SLIDER  AND DTM TEETH / BLACK TAPE
15,CENTER FRONT,L1 SNAP ON METAL ZIPPER PULL,LUKS / L1-2016-TRIM-009 ,1,PSEUDO ANTI SILVER 
16,UNDERARMS, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1 PER SIDE = 2,SHELL FABRIC MATCHING
17,SIDE ENTRY HAND POCKETS, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1 PER SIDE = 2,SHELL FABRIC MATCHING
18,INSIDE POCKET, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1,SHELL FABRIC MATCHING
21,FRONT LEFT SLEEVE,L1 SMALL EMBROIDERY,SOLUNA / L1-2016-026,1,DTM
23,FRONT PLACKET AND POCKET FLAPS,L1 SNAP,LUKS / L1-2016-TRIM-001,8,PSEUDO ANTI SILVER
24,RIGHT HAND POCKET,L1 NEW PATCH,LUKS / NEW TRIM ,1,TBD
27,CF POWDER SKIRT CLOSURE,14 MM PLASTIC SNAP,DURAFLEX / 1414,"4 MALE, 2 FEMALE",BLACK
28,POW SKIRT: JACKET TO PANT CONNECTION ON POWDERSKIRT HEM,14 MM PLASTIC SNAP,DURAFLEX / 1414,3 SETS,BLACK
29,"""SNAP AWAY POWDER SKIRT"" SNAP POWDER SKIRT TO FRONT FACING WHEN NOT IN USE",14 MM PLASTIC SNAP,DURAFLEX / 1414,"1 MALE, 1 FEMALE",BLACK
32,BACK HOOD CORD LOCK,CORD LOCK,KNK / SP-177,1 PER SIDE = 2,TBD
33,BACK HOOD CORD LOCK TIP,CORD TIP,KNK / CS-074,1 PER SIDE = 2,TBD
34,FRONT HOOD CORD LOCKS,CORD LOCK,KNK / SP-204,1 PER SIDE = 2,TBD
