MATERIAL_ID,0,1,2,3,4,6
0,,L1 JACKET,,,,
9,CENTER FRONT,#5 VISLON,ZA SNAP ON (YKK),1-WAY (LOCKING),ZIPPER SLIDER: H3 PSUDO ANTI SILVER // TAPE & TEETH: BLACK,
10,CHEST LEFT,#5 METAL,DADHR DIECAST WIRE (NON YKK) ZIP UP,1-WAY (LOCKING),ZIPPER SLIDER & TEETH: H3 PSUDO ANTI SILVER // TAPE: DTM,
11,HAND POCKETS,VELCRO TO CLOSE,,,,
12,PIT ZIPS,#5 COIL,DADHR DIECAST WIRE (NON YKK) ZIP UP,1-WAY (LOCKING),ZIPPER SLIDER: H3 PSUDO ANTI SILVER // TAPE & TEETH: BLACK,
13,INSIDE POCKET,#5 COIL,DADHR DIECAST WIRE (NON YKK) ZIP UP,1-WAY (LOCKING),ZIPPER SLIDER: H3 PSUDO ANTI SILVER // TAPE & TEETH: BLACK,
16,CF,L1-2016-TRIM-009 ORDER FROM LUKS,TOP PULL ONLY,1,PSUDO ANTI SILVER ,
17,PIT ZIPS,11NT-045 SELF FABRIC PULL,,1 PER = 2,"BODY ""A"" ",
18,INSIDE POCKET,11NT-045 SELF FABRIC PULL,,1,"BODY ""A"" ",
21,HEM,KNK,SP-177,1 PER SIDE = 2,BLACK,
22,HEM CORD TIPS,KNK,CS-074,1 PER SIDE = 2,BLACK,
25,HEM,3MM STRETCH SHOCKCORD,,,BLACK,
28,HOOD,WIDE CORD AS ON SAMPLE,,,12-0105 TPX OFF WHITE,
31,LINING FACING CABLE GUIDE,"1/4"" FLAT",,,BLACK,
32,GOGGLE POCKET,ELASTINE BINDING,,,BLACK,
33,POW ,22mm FLAT GRIPPER ELASTIC,,,BLACK,
36,CF POW CLOSURE,24L ,METAL,LEFT SIDE = 2 FEMALE // RIGHT SIDE = 4 MALE,BLACK CAP/ PSUDO ANTI SILVER BASE,
37,POW SKIRT GRIPPER ELASTIC,24L ,METAL,3 FEMALE,BLACK CAP/ PSUDO ANTI SILVER BASE,
40,HOOD ,LARGE METAL EYELET,AS SAMPLE,1 PER SIDE = 2,PSUDO ANTI SILVER ,
41,HEM,SMALL EYELET,AS SAMPLE,2 PER SIDE =4,PSUDO ANTI SILVER,
44,HEM ATTACH CORD LOCKS,"1/4"" FLAT",STOCK,,BLACK,
45,POW SKIRT GRIPPER ELASTIC REINFORCE SNAPS,"1"" TAB",STOCK,,BLACK,
46,KEYCLIP,"1/4"" FLAT, 1 1/2"" LOOP",STOCK,1,BLACK,
49,CHIN,"1/2"" X 1 1/2"" L",L1 QUALITY AS SAMPLE,1,MATCHING,
50,CF,"1/2"" X 3"" L",,3,MATCHING,
51,HAND POCKETS,"1/2"" X 1 3/4"" L",,2,MATCHING,
52,CUFF BODY,"1"" X 3 3/4""L",,1 PER SLEEVE = 2,MATCHING,
53,CUFF TAB,"1"" X 2 1/2""L",,1 PER SLEEVE = 2,MATCHING,
57,TOPSTITCH,,#606,TOPSTITCH THREAD,MATCHING,
58,BARTACKS,,,REGULAR THREAD,MATCHING,
61,"CHIN AND HEM, POCKET FLAPS",WORKING SNAP,L1-2016-TRIM-003 ORDER FROM LUKS,5,PSUDO ANTI SILVER,
62,CF,CAP ONLY SNAP,L1-2016-TRIM-003 ORDER FROM LUKS,2,PSUDO ANTI SILVER,
63,HOOD,RECTANGLE CORD LOCK,L1-2016-TRIM-017 ORDER FROM LUKS,2,BROWN,
64,LEFT CHEST POCKET,FAUX LEATHER HEM WRAP,L1-2016-TRIM-013 ORDER FROM LUKS,1,BROWN,
65,RIGHT HAND POCKET,"
L1 FAUX LEATHER PATCH",L1-2017-TRIM-101 ORDER FROM LUKS,1,BROWN,
66,FRONT LEFT SLEEVE,L1 EMBROIDERY SMALL,L1-2016-026,1,INK,
67,BACK RIGHT SHOULDER,L1 EMBROIDERY LARGE,L1-2016-027,1,INK,
68,KEYCLIP RIGHT HAND POCKET,NON LOGO STOCK,HK-001 ORDER FROM KNK,1,BLACK,
69,POWDER SKIRT WOVEN LABEL,CUT OFF LABEL,ORDER FROM LUKS,1,CUT OFF LABEL,
72,SHELL LEFT UNDERARM,HANGTAG,,1,,
73,LINING BACK NECK,SIZE LABEL,,1,,
74,LINING LEFT SIDE SEAM,ADDRESS LABEL,,1,,SEW AS LOOPS
75,LINING LEFT SIDE SEAM,CONTENT LABEL,,1,,SEW AS LOOPS
76,LINING LEFT SIDE SEAM,WASHING LABEL,,1,,SEW AS LOOPS
