MATERIAL_ID,0,1,2,3,4,5,6,7,8
13,CENTER FRONT,L1 SNAP ON METAL ZIPPER PULL,SHENZHEN GUAN HONG METAL ZIPPER CO.  / L1-2016-TRIM-009 ,1,PSEUDO ANTI SILVER ,PSEUDO ANTI SILVER ,PSEUDO ANTI SILVER ,PSEUDO ANTI SILVER ,
14,HAND POCKETS, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1 PER SIDE = 2,SHELL FABRIC MATCHING,SHELL FABRIC MATCHING,SHELL FABRIC MATCHING,SHELL FABRIC MATCHING,
15,INSIDE POCKET, SELF FABRIC PULL,FACTORY MADE // 11NT-045 ,1,SHELL FABRIC MATCHING,SHELL FABRIC MATCHING,SHELL FABRIC MATCHING,SHELL FABRIC MATCHING,
18,FRONT LEFT SLEEVE,L1 SMALL EMBROIDERY,SOLUNA / L1-2016-026,1,DTM,DTM,DTM,DTM,
20,LOWER BODY,L1 SNAP,LUKS / L1-2016-TRIM-002,2,PSEUDO ANTI SILVER/BLACK,PSEUDO ANTI SILVER/BLACK,PSEUDO ANTI SILVER/BLACK,PSEUDO ANTI SILVER/BLACK,
21,LEFT CHEST,L1 FAUX LEATHER TRIANGLE PATCH,YIQING SHOE FACTORY / L1-2017-TRIM-102,1,BLACK,BLACK,BLACK,BLACK,
24,CF POWDER SKIRT CLOSURE,14 MM PLASTIC SNAP 24L METAL SNAP,DURAFLEX / 1414,"4 MALE, 2 FEMALE",MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,
25,POW SKIRT: JACKET TO PANT CONNECTION ON POWDERSKIRT HEM,14 MM PLASTIC SNAP 24L METAL SNAP,DURAFLEX / 1414,3 SETS,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,
26,"""SNAP AWAY POWDER SKIRT"" SNAP POWDER SKIRT TO FRONT FACING WHEN NOT IN USE",14 MM PLASTIC SNAP 24L METAL SNAP,DURAFLEX / 1414,"1 MALE, 1 FEMALE",MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,MATTE BLACK CAP/ PSEUDO ANTI SILVER BASE,
29,HEM HOOD CORD LOCK,CORD LOCK,KNK / SP-177,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK,
30,HEM CORD LOCK TIP,CORD TIP BEAD,KNK / CS-074 ZP20,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK,
33,HEM ADJUST CORD EXIT,SMALL: GROMMET  8mm diameter,PLEASE SORCE,2 PER SIDE = 4,PSEUDO ANTI SILVER ,PSEUDO ANTI SILVER ,PSEUDO ANTI SILVER ,PSEUDO ANTI SILVER ,
36,HEM ,3mm STRETCH SHOCKCORD,SUPPLER / REF NUBER,,BLACK,BLACK,BLACK,BLACK,
37,HOOD,8mm ROUND WOVEN DRAWCORD,SUNSUN / SV160218-1 A,,BLACK,19-4006 TPX BLACK,16-0906 TPX SAND,18-0950TPX  HARVEST,
40,KEYCLIP LOOP RIGHT HAND POCKET,"1/4"" FLAT X 1 3/4"" LOOP",SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
41,HEM CORD LOCK TIE DOWNS,"3/8"" FLAT WEBBING LOOP",SUPPLER / REF NUBER,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK,
42,RIGHT HAND POCKET,PLASTIC KEYCLIP ,SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
43,JACKET TO PANT CONNECTION CENTER BACK ,"3/4"" X 1"" 1"" X 1"" FINISHED ",SUPPLER / REF NUBER,TAB BEHIND EACH SNAP = 2,BLACK,BLACK,BLACK,BLACK,
44,JACKET TO PANT CONNECTION AT SIDE TABS,"3/4"" X  3 1/2"" 3 1/4"" FLAT WEBBING (FINISHED LENGTH)",SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
45,INNER POCKET TAB,"3/4""",SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
48,POWDER SKIRT GRIPPER ELASTIC,25mm,SUPPLER / REF NUBER,1,BLACK/GREY,BLACK/GREY,BLACK/GREY,BLACK/GREY,
49,JACKET TO PANT CONNECTION CENTER BACK TAB,"FLAT ELASTIC TAPE 3/4"" x 4 1/4"" 1"" X 4""",SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
50,GOGGLE POCKET,ELASTINE BINDING,SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
51,LINING MEDIA POCKET CABLE GUIDE,"1/4"" FLAT ELASTIC",SUPPLER / REF NUBER,1,BLACK,BLACK,BLACK,BLACK,
52,ENCASED IN BACK OF SLEEVE HEM,,SUPPLER / REF NUBER,1,STOCK,STOCK,STOCK,STOCK,
55,CUFF ,2.5cm X 9cm,PAIHO / Loop#1057,1 LOOP TAB,MATCHING,MATCHING,MATCHING,MATCHING,ROUND EDGES
56,CUFF TAB,2.5cm X 6.5cm,PAIHO / HookETN7,1 HOOK TAB,MATCHING,MATCHING,MATCHING,MATCHING,
57,CF PLACKET,"1/2"" X 3"" ",PAIHO / HookETN7 / Loop#1057,2 SETS,MATCHING,MATCHING,MATCHING,MATCHING,
58,HAND & CHEST POCKET FLAPS,"1/2"" X 2"" ",PAIHO / HookETN7 / Loop#1057,2 SETS  PER POCKET FLAP,MATCHING,MATCHING,MATCHING,MATCHING,
59,MEDIA POCKET,"1/2"" X 3""",PAIHO / HookETN7 / Loop#1057,2 PIECES,MATCHING,MATCHING,MATCHING,MATCHING,
65,SLEEVE GAITER COVER STITCH,MUST BE STRETCH THREAD,,,MATCHING,MATCHING,MATCHING,MATCHING,
68,LEFT HAND POCKET ZIPPER HEAD,L1 HANG TAG,,1,L1 HANG TAG,,,,
69,LINING CB FACING,WP BREATH / SIZE LABEL / RN CA / MADE IN ___,,1,,,,,
70,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL,,,,
71,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL,,,,
72,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL,,,,
73,FRONT LEFT BELT LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE,,,,
