MATERIAL_ID,0,1,2,3,4,5,6,7
6,INSULATION:,,40G PINNECO MANTLE ,,,TARGET FOB:,,0
10, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE/TEETH COLOR: BLACK
13,"L1-2018-TRIM-017
L1 Zipper Pull",YKK,CENTER FRONT,1 TOP PULL ONLY,X6 BLACK OXIDES,X6 BLACK OXIDES,X6 BLACK OXIDES,X6 BLACK OXIDES
14,"L1-2018-TRIM-018
Non branded zipper pull. Faux Leather",PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,HAND POCKETS VERTICAL,1 PER SIDE = 2,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER
17,"L1-2018-TRIM-011
Half Deboss Snap",LUK'S / ,CHEST POCKET FLAP,1,AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
18,"L1-2018-TRIM-001
""Freedom In Versatility"" 
Woven Label",CHUN WO HO / ,CHEST POCKET,1,WOVEN LABEL,WOVEN LABEL,WOVEN LABEL,WOVEN LABEL
19,"L1-2018-TRIM-005
Black faux leather hem wrap",PLEASE SOURCE: SAME SUPPLIER AS OTHER FAUX LEATHER TRIMS,RIGHT HAND POCKET WELT,1,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER,BLACK FAUX LEATHER
20,"L1-2018-TRIM-024
L1 EMBROIDERY SMALL",SOLUNA,LEFT SLEEVE HEM,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
24,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - FRONT CLOSURE,"2 FEMALE, 4 MALE",AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
25,15MM METAL SNAP,LUK'S / 404,SNAP AWAY POWDER SKIRT - LINING FACING ,1 MALE 1 FEMALE,AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
26,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - JACKET TO PANT CONNECTION,3 SETS,AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
27,METAL EYELETS 11MM,LUK'S / ET89,HOOD CORD EXIT FRONT,2 PER SIDE = 4,AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
28,METAL EYELETS 8MM,LUK'S / ET04,HEM CORD EXIT,2 PER SIDE = 4,AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
29,CORD LOCK,# 1340089AA-0 (BKO1) (BUTTON),FRONT HOOD ADJUST,1 PER SIDE = 2,19-4006 TCX BLACK,19-4006 TCX BLACK,19-4006 TCX BLACK,19-4006 TCX BLACK
32,METAL DRAWCORD TIP,SEE PHOTO,FRONT HOOD DRAWCORD ENDS,1 PER SIDE = 2,AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
33,KEYCLIP,AS LAST YEAR PRODUCTION,RIGHT HAND POCKET,1,BLACK,BLACK,BLACK,BLACK
36,"GROSGRAIN 3/8""",,ATTACH HEM CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK
37,"GROSGRAIN 1/4""",,ATTACH KEYCLIP RIGHT HAND POCKET ,1,BLACK,BLACK,BLACK,BLACK
38,"GROSGRAIN: 3/4"" WIDE  (FOLD IN 1/2, 1/2"" FINISHED TAB LENGTH)",,LINING POCKET,1,BLACK,BLACK,BLACK,BLACK
39,"GROSGRAIN 3/4"" X  3 1/2"" FLAT WEBBING (FINISHED LENGTH)",,POWDER SKIRT - SIDE TABS JACKET TO PANT CONNECTION ,2,BLACK,BLACK,BLACK,BLACK
40,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK ON TAB,1,SHELL,SHELL,SHELL,SHELL
41,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK UNDER SNAP ON GRIPPER ELASTIC,1,SHELL,SHELL,SHELL,SHELL
42,"SHELL FABRIC TAB 3/4"" X  1"" ",,JACKET TO PANT CONNECTION AT SIDE TABS UNDER SNAPS,1 PER SIDE = 2,SHELL,SHELL,SHELL,SHELL
43,"ELASTIC 1"" X 4""",,POWDER SKIRT MIDDLE TAB - JACKET TO PANT CONNECTION ,1,BLACK,BLACK,BLACK,BLACK
44,ELASTIC ,,BACK OF SLEEVE CUFFS,1,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
45,"ELASTIC 1/4"" ",,LINING CABLE GUIDE,1,BLACK,BLACK,BLACK,BLACK
46,GRIPPER ELASTIC 25mm NON LOGO,MTT0022,POWDER SKIRT HEM,1,BLACK,BLACK,BLACK,BLACK
47,ELASTINE BINDING,,GOGGLE POCKET BINDING,1,BLACK,BLACK,BLACK,BLACK
