MATERIAL_ID,0,1,2,3,4,5
9,CENTER FRONT,#5 COIL, ZA SNAP-ON TYPE (YKK) 1-WAY SEMI AUTO LOCK,1,ENAMEL DULL BLACK SLIDER / BLACK TAPE,ENAMEL DULL BLACK SLIDER / BLACK TAPE
10,INSIDE POCKET,#5 COIL,DADHR DIECAST WIRE (NON YKK) 1-WAY (NON LOCKING),1,ENAMEL DULL BLACK SLIDER / BLACK TAPE,ENAMEL DULL BLACK SLIDER / BLACK TAPE
13,CF,L1-2016-TRIM-009,TOP PULL ONLY,1,ENAMEL DULL BLACK,ENAMEL DULL BLACK
16,HEM DRAWCORD,8mm ROUND WOVEN DRAWCORD WITH CLEAR PLASTIC TIP,SUNSUN / SV160218-1 A,1,DARK SLATE,RAVEN
17,HEM GROMMETS,METAL GROMMET,,1 PER SIDE = 2,ENAMEL DULL BLACK,ENAMEL DULL BLACK
20,FRONT LEFT SLEEVE HEM,L1 EMBROIDERY SMALL,SOLUNA / L1-2016-026,1,DTM,DTM
21,CENTER FRONT & HAND POCKET WELTS,L1 METAL SNAP,LUKS / L1-2017-TRIM-001 L12017-TRIM-100,7,MATT BLACK FINISH,MATT BLACK FINISH
22,LEFT CHEST,SCREEN PRINT  (SEE PAGE 4 PDF),SUPPLIER / TRIM NUMBER,1,SCREEN PRINT  (SEE PAGE 4 PDF),SCREEN PRINT  (SEE PAGE 4 PDF)
23,BACK ,SCREEN PRINT  (SEE PAGE 5 PDF),SUPPLIER / TRIM NUMBER,1,SCREEN PRINT  (SEE PAGE 5 PDF),SCREEN PRINT  (SEE PAGE 5 PDF)
29,BARTACKS,,,,MATCHING,MATCHING
32,LINING CB LOCKER LOOP,L1 HANG TAG,L1 HANG TAG,1,L1 HANG TAG,
33,LINING CB FACING,WP/ BREATHABILITY // RN CA / MADE IN CHINA,WP/ BREATHABILITY // RN CA / MADE IN CHINA,1,WP/ BREATHABILITY // RN CA / MADE IN CHINA,
34,LINING LEFT SIDE SEAM,ADDRESS LABEL,SEW AS LOOP,1,ADDRESS LABEL,
35,LINING LEFT SIDE SEAM,CONTENT LABEL,SEW AS LOOP,1,CONTENT LABEL,
36,LINING LEFT SIDE SEAM,WASHING LABEL,SEW AS LOOP,1,WASHING LABEL,
37,LINING LOCKET LOOP TO ATTACH HANG TAGS,CLEAR ZIP TIE,SUPPLIER // ,1,CLEAR ZIP TIE,
