MATERIAL_ID,0,1,2,3,4,5,6,7
6,INSULATION:,,PINNECO MANTLE 60G INSULATION ALL OVER,,,TARGET FOB:,,0
9, #5 METAL ZIPPER,YKK / 2-WAY SEMI AUTO LOCKING WITH 2 L1 CUSTOM PULLS,CENTER FRONT,1,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,
10, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,CHEST POCKET VERTICAL,1,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,
11, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,HAND POCKETS HORIZONTAL,2,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR: X ANTIQUE COPPER/ ZIPPER TAPE COLOR: BLACK,
14,"L1-2018-TRIM-017
L1 Zipper Pull",YKK,CENTER FRONT,TOP AND BOTTOM PULL = 2,YKK X ANTIQUE COPPER,YKK X ANTIQUE COPPER,YKK X ANTIQUE COPPER,
15, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,CHEST POCKET VERTICAL,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
16, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,HAND POCKETS HORIZONTAL,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
19,"L1-2018-TRIM-006
Large Brown faux leather hem wrap",PLEASE SOURCE,FRONT LEFT HAND POCKET,1,BROWN FAUX LEATHER,BROWN FAUX LEATHER,BROWN FAUX LEATHER,
20,"L1-2018-TRIM-001
Woven label:",PLEASE SOURCE,FRONT RIGHT HAND POCKET BAG,1,WOVEN LABEL,WOVEN LABEL,WOVEN LABEL,
21,"L1-2018-TRIM-024
L1 EMBROIDERY SMALL
3cm x 2.77cm  ",PLEASE SOURCE,LEFT SLEEVE HEM,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
22,"L1-2018-TRIM-025
L1 EMBROIDERY LARGE
3.7cm x 3.4cm  ",PLEASE SOURCE,BACK RIGHT,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
29,"GROSGRAIN: 3/4"" WIDE  (FOLD IN 1/2, 5/8"" FINISHED TAB LENGTH)",SOLUNA,PULL TAB ON VELCRO LINING POCKET ,1,BLACK,BLACK,BLACK,
33,"1/2"" X 5 1/2"" (1/2"" SHORTER THAT POCKET LENGTH VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7 / Loop#1057,LINING POCKET,1,BLACK,BLACK,BLACK,
38,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
39,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,
42,5K/5K CRITICALLY TAPED,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,5K/5K CRITICALLY TAPED,5K/5K CRITICALLY TAPED,5K/5K CRITICALLY TAPED,
46,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,MENS JACKET HANG TAG,MENS JACKET HANG TAG,
51,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL,ADDRESS LABEL,
52,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL,CONTENT LABEL,
53,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL,WASHING LABEL,
