MATERIAL_ID,0,1,2,3,4,5
9, #5 COIL ZIPPER,YKK / 1-WAY SEMI AUTO LOCKING WITH 1 L1 CUSTOM PULL,CENTER FRONT,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK
10, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,LINING POCKET VERTICAL,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK
13,"""L1-2018-TRIM-017
L1 Zipper Pull",YKK,CENTER FRONT,1,X6 BLACK OXIDES ,X6 BLACK OXIDES 
14, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,LINING POCKET VERTICAL,1,MATCH TO SHELL,MATCH TO SHELL
17,"L1-2018-TRIM-011
Half Deboss Snap",LUKS,CENTER FRONT PLACKET,5,AL023 ALLOY (D),AL023 ALLOY (D)
18,"L1-2018-TRIM-002
Black Leather patch",PLEASE SOURCE,FRONT RIGHT HEM,1,BLACK FAUX LEATHER,BLACK FAUX LEATHER
19,"L1-2018-TRIM-024
L1 EMBROIDERY SMALL
3cm x 2.77cm  ",PLEASE SOURCE,LEFT SLEEVE HEM,1,MATCH TO SHELL,MATCH TO SHELL
22,SCREEN PRINT - QUALITY AS ON SAMPLE OF BLACK JACKET PAMELA HAS FOR COLLAR REFERENCE,XXX,LEFT CHEST,1,"2 COLOR: PANTONE BLACK, PANTONE 18-0950 TPX HARVEST","2 COLOR: PANTONE BLACK, PANTONE 18-0950 TPX HARVEST"
28,15MM METAL SNAP,LUK'S / 404,HAND POCKET WELTS,1 PER SIDE = 2,AL023 ALLOY (D),AL023 ALLOY (D)
29,METAL EYELETS 11MM,LUK'S / ET89,HEM CORD EXIT,1 PER SIDE = 2,AL023 ALLOY (D),AL023 ALLOY (D)
32,8MM ROUND DRAWCORD,XXX,HEM,1 (SEE MEASUREMENTS PAGE FOR LENGTH),BLACK,BLACK
33,"1"" FLAT ELASTIC",XXX,SLEEVE HEMS,1 PER SIDE = 2,AVAILABLE,AVAILABLE
40,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL
41,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL
44,DWR,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,DWR,DWR
48,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,CENTER BACK LOCKER LOOP,1,MENS JACKET HANG TAG,MENS JACKET HANG TAG
52,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL
53,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL
54,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL
