MATERIAL_ID,0,1,2,3,4,5,7
6,INSULATION:,,NON INSULATED,,,TARGET FOB:,0
9, #5 COIL ZIPPER,YKK / DALH/DAG 2-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
10,#5 VISLON AQUAGUARD MATTE FILM (5VT9),YKK /  1-WAY DFW SHORT NON LOCKING,CHEST POCKET VERTICAL,1,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
11,#5 VISLON AQUAGUARD MATTE FILM (5VT9),YKK /  1-WAY DFW SHORT NON LOCKING,SLEEVE POCKET,1,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
12,#3 AquaGuard Coil Zipper with matte transparent film (5CNT10),YKK /  1-WAY DFW SHORT NON LOCKING,UNDERARM VENTS,1 PER SIDE = 2,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
13, #5 COIL ZIPPER,YKK /  1-WAY DFW SHORT NON LOCKING,HAND POCKETS HORIZONTAL,1 PER SIDE = 2,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
14, #3 COIL ZIPPER,YKK /  1-WAY DFW SHORT NON LOCKING,LINING POCKET VERTICAL,1,SILDER/PULL COLOR: TBD ZIPPER TAPE COLOR: BLACK,,
17,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT 1 TOP PULL ONLY,1,COLOR,,
18,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,SLEEVE POCKET,1,COLOR,,
19,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,UNDERARM VENTS,1 PER SIDE = 2,COLOR,,
20,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS HORIZONTAL,1 PER SIDE = 2,COLOR,,
21,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,LINING POCKET VERTICAL,1,COLOR,,
24,NITRO TRIM NUMBER //  METAL SNAP,XXX,CHIN,1,COLOR,,
25,NITRO TRIM NUMBER //  METAL SNAP,,"HEM, CHEST POCKET FLAP, HAND POCKET FLAPS",3,,,
26,POWDER SKIRT GRIPPER ELASTIC ,"NITRO Embossed 
petersham tape 
(E1342816 20mm)
CHUN WO HO",POWDER SKIRT GRIPPER ELASTIC ,1,COLOR,,
27,GOGGLE POCKET BINDING,CHUN WO HO,GOGGLE POCKET OPENING,1,COLOR,,
28,JOEY CORD KEEP 3MM,WOOJIN/ W863,LINING CENTER FRONT CHEST,1,BLACK,,
31,15MM METAL SNAP,LUK'S / 404,HIDDEN AT HEM,1 SET,METAL COLOR,,
32,15MM METAL SNAP,LUK'S / 404,SNAP AWAY POWDER SKIRT - LINING FACING ,1 MALE 1 FEMALE,METAL COLOR,,
33,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - FRONT CLOSURE,"1 FEMALE, 2 MALE",METAL COLOR,,
34,15MM METAL SNAP,LUK'S / 404,POWDER SKIRT - JACKET TO PANT CONNECTION ON TABS,3 SETS,METAL COLOR,,
35,8MM METAL EYELET,LUK'S / ET04,FRONT HOOD ADJUST,2 PER SIDE = 4,METAL COLOR,,
36,CORD LOCK,,FRONT HOOD ADJUST,1 PER SIDE = 2,COLOR,,
37,BEAD,,FRONT HOOD ADJUST,1 PER SIDE = 2,COLOR,,
38,8MM METAL EYELET,LUK'S / ET04,HEM ADJUST ,2 PER SIDE = 4,METAL COLOR,,
39,CORD LOCK,,HEM ADJUST ,1 PER SIDE = 2,COLOR,,
40,BEAD,,HEM ADJUST ,1 PER SIDE = 2,COLOR,,
41,METAL EYELETS 11MM ,LUK'S / ET89,BACK HOOD ADJUST,1,METAL COLOR,,
42,CORD LOCK,,BACK HOOD ADJUST,1,COLOR,,
43,BEAD,,BACK HOOD ADJUST,1,COLOR,,
44,KEYCLIP,,RIGHT HAND POCKET,1,COLOR,,
47,"GROSGRAIN 1/4""",XXX,ATTACH FRONT HOOD CORD LOCK,1 PER SIDE = 2,COLOR,,
48,"GROSGRAIN 3/8""",XXX,ATTACH HEM CORD LOCK,1 PER SIDE = 2,COLOR,,
49,"GROSGRAIN 3/8""",XXX,ATTACH BACK HOOD CORD LOCK,1,COLOR,,
50,"GROSGRAIN 1/4""",XXX,ATTACH KEYCLIP RIGHT HAND POCKET ,1,COLOR,,
51,"GROSGRAIN 3/4"" X 1"" ",XXX,POWDER SKIRT JACKET TO PANT CONNECTION TABS BEHIND SNAPS,1,COLOR,,
52,"ELASTIC 3/4"" (CB 3/4 X 4"") (SIDE TABS 3/4 X 3 1/4""",XXX,POWDER SKIRT JACKET TO PANT CONNECTION TABS,3 PIECES ,COLOR,,
53,SHOCKCORD,XXX,HOOD,1,COLOR,,
54,SHOCKCORD,XXX,HEM,1,COLOR,,
55,"ELASTINE TAPE (USED IN 1"" X1 1/2"" WELT)",XXX,LINING MEDIA POCKET CORD EXIT,1,COLOR,,
58,BONDING FILM,XXX,HOOD BRIM,1,,,
59,BONDING FILM,,BACK HOOD ADJUST WELT,1,,,
60,BONDING FILM,XXX,CENTER FRONT PLACKET,1,,,
61,BONDING FILM,XXX,CUFF TABS,1 PER SIDE = 2,,,
62,BONDING FILM,XXX,HAND POCKET FLAPS,1 PER SIDE = 2,,,
63,BONDING FILM,XXX,ZIPPER GARAGES,,,,
66,"1"" X 3 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,INSET CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,,
67,"1"" X 1 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,,
71,TOPSTITCH,8-10 SPI,30 / 2,,MATCH TO SHELL,,
72,BARTACKS,,100 / 2,,MATCH TO SHELL,,
75,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1,,,
79,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,,,
84,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
85,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
86,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
