MATERIAL_ID,0,1,2,3,4,5
6,INSULATION:,,NON INSULATED,,,TARGET FOB:
11,,"Hyperbola / SC390-7 *2L 
*(printable)",C1,,,
15,NON INSULATED,,,,40G,
21,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% NYLON,COLOR,
22,SOLID 210T ,SOLIS / SONP006-1,MAIN BODY,100% NYLON,COLOR,
23,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,COLOR,
24,SOLID 210T ,SOLIS / SONP006-1,SECONDARY POCKET BAGS,100% NYLON,COLOR,
25,SOLID COATED 210T,SOLIS / SONP006-PU03,LOWER BODY & POWDER SKIRT,100% NYLON,COLOR,
26,BRUSHED TRICOT,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,COLOR,
27,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,COLOR,
28,BRUSHED TECH MESH,SUPPLIER / REF CODE,NECK FACING,100% POLYESTER,COLOR,
29,POWER STRETCH MESH,SUPPLIER / REF CODE,UNDERARM VENTS,100% POLYESTER,COLOR,
30,POWER STRETCH MESH,SUPPLIER / REF CODE,GOGGLE POCKET,100% POLYESTER,COLOR,
31,POWER STRETCH MESH,SUPPLIER / REF CODE,BACK VENT,100% POLYESTER,COLOR,
32,LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,COLOR,
