MATERIAL_ID,0,1,2,3,4,5
6,INSULATION:,,40G PINNECO MANTLE ALL OVER,,,TARGET FOB:
10,,"Hyperbola / SC579-1 *2L
*(printable)",S,,,
14,,PINNECO MANTLE,ALL OVER,,40G,
20,SOLID 210T ,SOLIS / SONP006-1,HOOD,100% NYLON,COLOR,
21,SOLID 210T ,SOLIS / SONP006-1,MAIN BODY,100% NYLON,COLOR,
22,SOLID 210T ,SOLIS / SONP006-1,SLEEVES,100% NYLON,COLOR,
23,SOLID 210T ,SOLIS / SONP006-1,SECONDARY POCKET BAGS,100% NYLON,COLOR,
24,SOLID COATED 210T,SOLIS / SONP006-PU03,LOWER BODY & POWDER SKIRT,100% NYLON,COLOR,
25,BRUSHED TRICOT,SUPPLIER / REF CODE,HAND POCKET BAGS,100% POLYESTER,COLOR,
26,BRUSHED TRICOT,SUPPLIER / REF CODE,CHIN GUARD,100% POLYESTER,COLOR,
27,BRUSHED TECH MESH,SUPPLIER / REF CODE,NECK FACING,100% POLYESTER,COLOR,
28,REGULAR MESH,SUPPLIER / REF CODE,UNDERARM VENTS,100% POLYESTER,COLOR,
29,REGULAR MESH ,SUPPLIER / REF CODE,GOGGLE POCKET,100% POLYESTER,COLOR,
30,LYCRA,SUPPLIER / REF CODE,SLEEVE GAITERS,CONTENT,COLOR,
