MATERIAL_ID,0,1,2,3,4,5,7
6,INSULATION:,,QUILTED YOKE AND ELBOW PATCHES 40G PINNECO CORE,,,TARGET FOB:,0
9,#5 VISLON ZIPPER,YKK / DALH 1-WAY SEMI AUTO LOCKING,CENTER FRONT,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
10,#5 VISLON ZIPPER,YKK / DFW SHORT NON LOCK,HAND POCKETS VERTICAL,1 PER SIDE = 2,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
11,#5 COIL ZIPPER,NON YKK / DFW SHORT NON LOCK,CHEST POCKET,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
12, #5 COIL ZIPPER,NON YKK / DFW SHORT NON LOCK,LINING POCKET VERTICAL,1,SILDER/PULL COLOR: MATTE BLACK/ ZIPPER TAPE &TEETH COLOR: MATTE BLACK,,
15,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT,1,COLOR,,
16,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,HAND POCKETS VERTICAL,1 PER SIDE = 2,COLOR,,
17,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CHEST POCKET,1,COLOR,,
20,NITRO FAUX SUEDE PATCH/ N19-TRIM002,CHUN WO HO/ M1494817,FRONT LEFT HEM,1,COLOR,,
26,"Nitro Embossed 
Petersham Logo binding tape","CHUN WO HO
E1342816 20MM",SLEEVE AND BOTTOM HEMS,3,COLOR,,
40,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,,
41,MID WEIGHT TOPSTITCH THREAD (YOKE AND ELBOW PATCHES),8-10 SPI,,,MATCH TO SHELL,,
42,BARTACKS,,100/2,,MATCH TO SHELL,,
45,MAIN SIZE LABEL,,CENTER BACK LINING BELOW NECK SEAM,1,,,
49,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1,,,
53,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
54,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
55,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,,,
