MATERIAL_ID,0,5,8,16,27,28,30,32,34,37,40
10,SHELL FABRICS,,,,,,,,,,
11,SCK 2265 ICE CAFÉ,SINGTEX,"shell fabric at waistband, interior waistband, front and back legs, rolled cuffs, back pocket bag",,1,,TBA,TBA,ebony,navy,black
14,flatlock stitching,COATS,flatlock stitching    ,"under waistband, rise, gusset, inseam and outseam",,,,,ebony,navy,black
16,ZIPPERS,,,,,,,,,,
17,CFC-39 DSBYG (H3),YKK,"#3 coil, closed end, DSBYG slider",back pocket zipper,,1,,0,ocean,orange,neon lime
20,PLEASE SOURCE,TBA,lace,interior waistband,,,TBA,,ocean,orange,neon lime
23,HT-04,TBA,heat transfer,front left waistband       ,,1,TBA,,black,ocean,ebony
24,HT -14,,Reflective heat transfer,back waistband,,,,,reflective grey,reflective grey,reflective grey
26,FIVE12-W-INT-HT-L,TBA,main interior heat transfer label,interior cb waistband   ,,1,TBA,,x,x,x
27,TBA,PLEASE SOURCE,perforated care content label ,left waistband seam  ,,1,TBA,,white,white,white
