,0,1,2,3,4,5,6,7,8,9
0,none,l1 mens jacket,none,none,none,none,none,none,none,none
1,none,season: ,none,winter 2017/2018,none,contractor: ,none,soluna,none,none
2,none,style number:,none,l1-102-17,none,date created:,none,2016-03-14 00:00:00,none,none
3,none,style name: ,none,windsor,none,date revised: ,none,none,none,none
4,none,fabric rating: ,none,20k/ 20k,none,block: ,none,l1-103-16  sutton       ,none,none
5,none,seam sealing: ,none,fully taped,none,fit: ,none,regular,none,none
6,none,insulation: ,none,"non insulated, waffle lined",none,target fob: ,none,55,none,none
7,none,sample size: ,none,mens large,none,none,none,none,none,none
9,none,none,none,none,colorways,none,none,none,none,none
10,shell fabric,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,none,none,none
11,a,wax fabric pa07001-2lc 15k/15k 4.68,raco,none,none,none,none,none,none,none
12,none,with melang hb wmd017-pr $4.55 20k10k only,wide plus,none,none,none,none,none,none,none
14,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
15,non insulated,none,none,none,non insulated,none,none,none,none,none
17,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
18,fully taped,width...seam tape,sealon,none,fully  taped,none,none,none,none,none
20,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
21,"hood,  sleeves, chest and top entry pocket bag",solid 210d,solis / ref number,none,none,none,none,none,none,none
22,front and back panels,waffle fleece,solis / ref number,none,none,none,none,none,none,none
23,lower body & powder skirt ,solid coated 210d,solis / ref number,none,none,none,none,none,none,none
24,chin & side entry pocket bags,brushed tricot,solis / ref number,none,none,none,none,none,none,none
25,underam vents,regular mesh,solis / ref number,none,none,none,none,none,none,none
26,goggle pocket,power stretch mesh,solis / ref number,none,none,none,none,none,none,none
27,sleeve gaiter,stretch lycra,solis / ref number,none,none,none,none,none,none,none
