,0,1,2,3,4,5,6,7,8,9
0,l1 mens pant,none,none,none,none,none,none,sample size large / xs-xxl,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-203-18,none,none,date created:,none,2017-03-13 00:00:00,none,none
3,style name:,none,americana,none,none,date revised:,none,2017-04-04 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,l1-202-16 americana paper pattern,none,none
5,seam sealing:,none,fully seam sealed,none,none,fit:,none,regular,none,none
6,insulation:,none,40g pinneco mantle knees and seam,none,none,target fob:,none,39,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,black,soil,bone ,ink,vintage camo broken twill,none
10,oxford,solis / l2-581 / 10k/10k c6 + dwr,a,none,black,soil,bone ,ink,x,none
11,broken twill,solis/ wl248 broken twill,a,none,x,x,x,x,vintage camo broken twill,none
12,leather,suppler? can you source same quality as other faux  leather trims,back right belt loop,100% leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
14,insulation,supplier/ reference number,location ,content,black,soil,bone ,ink,vintage camo broken twill,0
15,polyfill insulation ,pinneco mantle 40g ,knees and seat,100% polyester,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,none
18,seam tape,supplier/ reference number,location ,content,black,soil,bone ,ink,vintage camo broken twill,0
19,seam tape,tsgs ,fully taped,none,fully taped,fully taped,fully taped,fully taped,fully taped,none
21,lining,supplier/ reference number,location ,content,black,soil,bone ,ink,vintage camo broken twill,0
22,solid 210t ,solis / sonp006-1,main body,100% nylon,black,black,black,black,black,none
23,solid 210t ,solis / sonp006-1,knees and seat,100% nylon,black,black,black,black,black,none
24,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black,black,none
25,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% polyester,black,black,black,black,black,none
26,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,black,none
27,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black,black,black,black,black,none
29,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,soil,bone ,ink,vintage camo broken twill,0
30,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,none
