,0,1,2,3,4,5,6,7,8,9
0,brand mens pant,none,none,none,none,none,none,sample size large / xs-xxl,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-211-18,none,none,date created:,none,2017-03-13 00:00:00,none,none
3,style name:,none,aftershock,none,none,date revised:,none,2017-04-05 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,none,none,none
5,seam sealing:,none,critically seam sealed,none,none,fit:,none,regular straight leg,none,none
6,insulation:,none,"60g pinneco core or synthetic down, waist band 20g",none,none,target fob:,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,black,gunmetal,silt,walnut,none,none
10,micro ripstop,solis/ sotl120-pu01 micro rip 2l dot lam ,a,100% polyester,black,gunmetal,silt,walnut,none,none
11,faux leather,suppler? can you source same quality as other faux leather trims,front left belt loop,none,black faux leather,black faux leather,black faux leather,black faux leather,none,none
13,insulation,supplier/ reference number,location ,content,black,gunmetal,silt,walnut,0,0
14,polyfill,60g pinneco core or synthetic down,"body, back yoke",100% polyester,60g pinneco core or synthetic down,60g pinneco core or synthetic down,60g pinneco core or synthetic down,60g pinneco core or synthetic down,none,none
15,polyfill,20g pinneco mantle,"waistband, back pocket welts",100% polyester,20g pinneco core or synthetic down,20g pinneco core or synthetic down,20g pinneco core or synthetic down,20g pinneco core or synthetic down,none,none
17,seam tape,supplier/ reference number,location ,content,black,gunmetal,silt,walnut,0,0
18,seam tape,tsgs,critically taped,none,critically taped,critically taped,critically taped,critically taped,none,none
20,lining,supplier/ reference number,location ,content,black,gunmetal,silt,walnut,0,0
21,solid 210t ,solis / sonp006-1,body,100% nylon,black,black,black,black,none,none
22,solid 210t ,solis / sonp006-1,pocket bags,100% nylon,black,black,black,black,none,none
23,reverse brushed tricot,supplier / ref code,seat,100% polyester,black,black,black,black,none,none
24,brushed tricot,supplier / ref code,waistband and fly,100% polyester,black,black,black,black,none,none
25,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% polyester,black,black,black,black,none,none
26,regular mesh,1606b02 (als-16038),vents,100% polyester,black,black,black,black,none,none
28,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,gunmetal,silt,walnut,0,0
29,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0403 tcx gunmetal,pantone 18-0950 tcx harvest screen print,none,none
