,0,1,2,3,4,5,6,7,8,9
0,l1ta womens jacket,none,none,none,none,sample size small / xs-l,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1ta-105-18 ,none,none,date created:,none,2017-03-01 00:00:00,none,none
3,style name:,none,prowler,none,none,date revised:,none,2017-04-04 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,l1ta-105-17 prowler,none,none
5,seam sealing:,none,critically seam sealed,none,none,fit:,none,regular,none,none
6,insulation:,none,"40g ""pinneco mantle"" all over",none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,silt,ink,military,black,0,0
9, #5 metal zipper  (special herringbone tape),ykk / 1-way semi auto locking with 1 l1 custom pull,center front,1,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 16-5807 tcx silt,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4010 tcx ink,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4006 tcx black,none,none
10, #5 metal zipper  (special herringbone tape),non ykk / 1-way dadhr die cast wire non locking,chest pocket vertical,1,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 16-5807 tcx silt,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4010 tcx ink,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4006 tcx black,none,none
11, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,none,none
12, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets horizontal,1 per side = 2,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,none,none
13, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,side entry,1,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,none,none
15,additional zipper pulls,supplier/ reference number,location,amount,silt,ink,military,black,0,0
16,"""l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm ",ykk,center front,1,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,none,none
17,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,please source: same supplier as other faux leather trims,chest pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
18,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,please source: same supplier as other faux leather trims,hand pockets vertical,1 per side = 2,brown leather,brown leather,brown leather,brown leather,none,none
19,11nt-045 / self fabric pull,factory made,hand pockets horizontal,1,silt shell fabric,ink shell fabric,military shell fabric,black shell fabric,none,none
20,11nt-045 / self fabric pull,factory made,side entry,1,silt shell fabric,ink shell fabric,military shell fabric,black shell fabric,none,none
