,position,item,ref num,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
8,center front,#5 vislon,ykk za/dag snap on // 2-way seperating auto lock ,1,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,none,none,none
9,underarms,#5 coil,dadhr diecast wire (non ykk) auto lock (zip up to close) ,1 per side = 2,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,none,none,none
10,side entry hand pockets,#5 coil,dadhr diecast wire (non ykk) auto lock ,1 per side = 2,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,none,none,none
11,inside pocket,#5 coil,dadhr diecast wire (non ykk) auto lock ,1,pseudo anti silver slider  and dtm teeth / black tape,none,none,none,none,none
12,zipper pulls,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
13,center front,l1 snap on metal zipper pull,luks / l1-2016-trim-009 ,1,pseudo anti silver ,none,none,none,none,none
14,underarms, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
15,side entry hand pockets, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
16,inside pocket, self fabric pull,factory made // 11nt-045 ,1,shell fabric matching,none,none,none,none,none
17,l1 branded trims,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
18,front left sleeve,l1 small embroidery,soluna / l1-2016-026,1,dtm,none,none,none,none,none
19,back right ,l1 large embroidery,soluna / l1-2016-027,1,dtm,none,none,none,none,none
20,front placket and pocket flaps,l1 snap,luks / l1-2016-trim-001,8,pseudo anti silver,none,none,none,none,none
21,right hand pocket,l1 new patch,luks / new trim ,1,tbd,none,none,none,none,none
22,snaps,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
23,cf powder skirt closure,14 mm plastic snap,duraflex / 1414,"4 male, 2 female",black,none,none,none,none,none
24,pow skirt: jacket to pant connection on powderskirt hem,14 mm plastic snap,duraflex / 1414,3 sets,black,none,none,none,none,none
25,"""snap away powder skirt"" snap powder skirt to front facing when not in use",14 mm plastic snap,duraflex / 1414,"1 male, 1 female",black,none,none,none,none,none
26,cord locks,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
27,back hood cord lock,cord lock,knk / sp-177,1 per side = 2,tbd,none,none,none,none,none
28,back hood cord lock tip,cord tip,knk / cs-074,1 per side = 2,tbd,none,none,none,none,none
29,front hood cord locks,cord lock,knk / sp-204,1 per side = 2,tbd,none,none,none,none,none
30,hem cord locks,cord lock,knk /  sp-058,1 per side = 2,tbd,none,none,none,none,none
31,pocket cord tip,cord lock,knk / cs-1,1 per side = 2,tbd,none,none,none,none,none
32,grommets,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
33,back hood cord exit,grommet 11.5 mm (large),please sorce,1 per side = 2,pseudo anti silver ,none,none,none,none,none
34,front hood adjust cord exit,grommet  8mm diameter,please sorce,2 per side = 4,pseudo anti silver ,none,none,none,none,none
35,hem adjust cord exit,grommet  8mm diameter,please sorce,2 per side = 4,pseudo anti silver ,none,none,none,none,none
36,hem adjust cord exit in lining pocket,grommet  8mm diameter,please sorce,1 per side = 2,pseudo anti silver ,none,none,none,none,none
37,shockcord,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
39,webbing ,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
40,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",suppler / ref nuber,1,black,none,none,none,none,none
41,hem & hood cord lock tie downs,"1/4"" flat webbing loop",suppler / ref nuber,5,black,none,none,none,none,none
42,right hand pocket,plastic keyclip ,suppler / ref nuber,1,black,none,none,none,none,none
43,jacket to pant connection center back ,"3/4"" x 1"" finished ",suppler / ref nuber,tab behind each snap = 2,black,none,none,none,none,none
44,jacket to pant connection at side tabs,"3/4"" x 3 1/4"" flat webbing",suppler / ref nuber,1,black,none,none,none,none,none
45,elastic,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
46,powder skirt gripper elastic,25mm,suppler / ref nuber,1,stock,none,none,none,none,none
47,goggle pocket,elastine binding,suppler / ref nuber,1,black,none,none,none,none,none
48,lining media pocket cable guide,"1/4"" flat elastic",suppler / ref nuber,1,black,none,none,none,none,none
50,jacket to pant connection center back tab,"flat elastic tape 3/4"" x 4 1/4""",suppler / ref nuber,1,black,none,none,none,none,none
51,velcro,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
52,cuff ,2.5cm x 9cm,paiho / loop#1057,1 loop tab,matching,none,none,none,none,none
53,cuff tab,2.5cm x 6.5cm,paiho / hooketn7,1 hook tab,matching,none,none,none,none,none
54,cf placket,1.3 cm x 7.5cm,paiho / hooketn7 / loop#1057,4 sets,matching,none,none,none,none,none
55,hand & chest pocket flaps,1.3 cm x 4cm,paiho / hooketn7 / loop#1057,2 sets  per pocket flap,matching,none,none,none,none,none
56,thread,spi,ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
61,marketing,description,ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
64,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
65,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
66,lining left side seam,washing label,sew as loop,1,washing label,none,none,none,none,none
67,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none,none,none
