,position,ref num,ref number,content,colorways,none,none,none,none,none
12,insulation,description,ref number,content,colorways,0,0,0,0,0
13,hood & sleeves,insulation,"""cs"" type polyfill",100% poly,40g,none,none,none,none,none
14,body,insulation,"""cs"" type polyfill",100% poly,60g,none,none,none,none,none
15,seam tape,description,ref number,none,colorways,0,0,0,0,0
17,lining,description,ref number,content,colorways,0,0,0,0,0
18,back,bone collector print,te er jia textile,100% poly,bone collector print,none,none,none,none,none
19,chin,bt-120 120g brushed tricot,fuk luen,100% poly,black,none,none,none,none,none
20,lower body & pow,coated 210t,te er jia textile,100% nylon,black,none,none,none,none,none
21,sleeve gaiter,lycra e3953b,ching hing textile,82% polyester 18% elastane,black,none,none,none,none,none
22,vents,regular mesh a-1014,fuk luen,100% poly,black,none,none,none,none,none
23,goggle pocket,regular mesh a-1014,fuk luen,100% poly,black,none,none,none,none,none
24,hood,solid 210t,te er jia textile,100% nylon,black,none,none,none,none,none
25,fronts,solid 210t,te er jia textile,100% nylon,black,none,none,none,none,none
26,sleeves,solid 210t,te er jia textile,100% nylon,black,none,none,none,none,none
27,hand pocket lining,solid 210t,te er jia textile,100% nylon,black,none,none,none,none,none
