,position,item,ref num,amount,dark slate,raven,0,0,0,0
8,center front,#5 coil, za snap-on type (ykk) 1-way semi auto lock,1,enamel dull black slider / black tape,enamel dull black slider / black tape,none,none,none,none
9,inside pocket,#5 coil,dadhr diecast wire (non ykk) 1-way (non locking),1,enamel dull black slider / black tape,enamel dull black slider / black tape,none,none,none,none
10,zipper pulls,item,supplier/ ref number,amount,dark slate,raven,0,0,0,0
11,cf,l1-2016-trim-009,top pull only,1,enamel dull black,enamel dull black,none,none,none,none
12,hem,item,supplier/ ref number,amount,dark slate,raven,0,0,0,0
13,hem drawcord,8mm round woven drawcord with clear plastic tip,sunsun / sv160218-1 a,1,dark slate,raven,none,none,none,none
14,hem grommets,metal grommet,none,1 per side = 2,enamel dull black,enamel dull black,none,none,none,none
15,l1 branded trims,item,supplier/ ref number,amount,dark slate,raven,0,0,0,0
16,front left sleeve hem,l1 embroidery small,soluna / l1-2016-026,1,dtm,dtm,none,none,none,none
17,center front & hand pocket welts,l1 metal snap,luks / l1-2017-trim-001 l12017-trim-100,7,matt black finish,matt black finish,none,none,none,none
18,left chest,screen print  (see page 4 pdf),supplier / trim number,1,screen print  (see page 4 pdf),screen print  (see page 4 pdf),none,none,none,none
19,back ,screen print  (see page 5 pdf),supplier / trim number,1,screen print  (see page 5 pdf),screen print  (see page 5 pdf),none,none,none,none
20,thread,spi,ref number,amount,dark slate,raven,0,0,0,0
24,marketing,description,ref number,amount,dark slate,raven,0,0,0,0
25,lining cb locker loop,l1 hang tag,l1 hang tag,1,l1 hang tag,none,none,none,none,none
26,lining cb facing,wp/ breathability // rn ca / made in china,wp/ breathability // rn ca / made in china,1,wp/ breathability // rn ca / made in china,none,none,none,none,none
27,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
28,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
29,lining left side seam,washing label,sew as loop,1,washing label,none,none,none,none,none
30,lining locket loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none,none,none
