,position,item,ref num,content,black overdye denim,brown overdye denim,none,none,none,none
9,all shell is same fabric,overdye pigment $6.90 10k/10k,laka tex  ls1068-dl2a,"85% cotton, 13% poly, 2% spandex",black overdye denim,no,none,none,none,none
10,all shell is same fabric,"brown overdye denim 10k/10k lamination + w/r + pigment, $10.65",solis - l2-1081,84.5% cotton/ 13.5 % poly/ 2% spandex,no,brown  l2-1081 overdye denim,none,none,none,none
11,insulation,item,supplier/ ref number,content,black overdye denim,brown overdye denim,0,0,0,0
13,seam tape,item,supplier/ ref number,content,black overdye denim,brown overdye denim,0,0,0,0
14,critically taped,width...seam tape,sealon,none,yes,yes,none,none,none,none
15,lining,item,supplier/ ref number,content,black overdye denim,brown overdye denim,0,0,0,0
16,main body,small hole mesh ,please sorce,100% poly,black,black,none,none,none,none
17,lower leg,coated 210t,please sorce,100% nylon,black,black,none,none,none,none
18,waistband & fly,120g brushed tricot,please sorce,100% poly,black,black,none,none,none,none
19,hand pocket lining,120g brushed tricot,please sorce,100% poly,black,black,none,none,none,none
